word,n
access to,3
to customize,3
000 symbolstix,2
20 000,2
can be,2
don t,2
in a,2
is a,2
mytalk workspace,2
or other,2
people with,2
symbolstix images,2
t worry,2
with apps,2
with many,2
worry about,2
you can,2
your device,2
000 people,1
100 000,1
100 additional,1
2 tts,1
30 day,1
5 minutes,1
a 30,1
a collaborative,1
a complete,1
a device,1
a free,1
a good,1
a major,1
a member,1
a portable,1
a single,1
a variety,1
a way,1
aac by,1
ability it,1
about experimenting,1
about losing,1
access keep,1
add custom,1
additional features,1
additional voices,1
adjustments print,1
all changes,1
all information,1
almost any,1
alone solution,1
alternative communications,1
always back,1
an award,1
and audio,1
and can,1
and cool,1
and customize,1
and desires,1
and drop,1
and families,1
and fine,1
and images,1
and itouch,1
and other,1
and others,1
and parents,1
and participate,1
and phrases,1
and professional,1
and recorded,1
and sharing,1
and time,1
any point,1
app purchase,1
app that,1
apple com,1
apple global,1
apple tv,1
apple watch,1
apps a,1
apps for,1
apps like,1
are supported,1
around them,1
arrangement copy,1
as in,1
asn wab,1
audio are,1
audio files,1
auditory scanning,1
augmentative alternative,1
authors can,1
autism or,1
automatic reminders,1
available as,1
award winning,1
back up,1
backed up,1
background can,1
bar to,1
battery life,1
be programmed,1
be used,1
bi lingual,1
boards cells,1
boards from,1
breakthrough in,1
browser apple,1
bt switches,1
but we,1
by creating,1
by making,1
can always,1
can download,1
can dramatically,1
can support,1
caregivers and,1
categorize words,1
cell sizes,1
cells or,1
cerebral palsy,1
changes many,1
chinese hebrew,1
choices a,1
choices popup,1
choose mytalk,1
collaborative group,1
com enroll,1
communicate in,1
communicate through,1
communication ability,1
communication difficulties,1
communication tool,1
communications aac,1
communities by,1
community libraries,1
complete phrases,1
complete stand,1
content and,1
content using,1
context to,1
continued use,1
continuous refinement,1
cool communication,1
copy for,1
copy or,1
core words,1
course to,1
create and,1
create is,1
creating and,1
custom words,1
customization options,1
customize how,1
customize it,1
customize to,1
customize variant,1
day trial,1
decrease battery,1
desires to,1
developers seeking,1
device all,1
device the,1
device works,1
diagnoses that,1
difficulties to,1
directly with,1
down syndrome,1
download photos,1
download standard,1
drag and,1
dramatically decrease,1
drop arrangement,1
ease of,1
easy to,1
effective and,1
email or,1
enable modeling,1
enables over,1
encoding to,1
english spanish,1
enroll erf,1
erf asn,1
every version,1
experimenting you,1
express their,1
facetime or,1
family and,1
family friendly,1
family members,1
features for,1
features mytalk,1
features to,1
files including,1
fine motor,1
fitzgerald or,1
for kids,1
for most,1
for people,1
for quick,1
for use,1
for users,1
for visual,1
for your,1
free text,1
french chinese,1
friendly developers,1
from our,1
from your,1
function grammar,1
generate complete,1
geo context,1
geo location,1
get pre,1
global search,1
good solution,1
goosen encoding,1
gps running,1
grammar support,1
group of,1
hard copy,1
hearing or,1
hebrew and,1
how simple,1
how you,1
https itunesu,1
human voice,1
images from,1
images many,1
images photographs,1
images video,1
impair communication,1
impairment and,1
impairments autism,1
in 5,1
in app,1
in augmentative,1
in family,1
in standard,1
in the,1
in time,1
include a,1
included 100,1
including auditory,1
including english,1
including human,1
information is,1
innovative features,1
integrate pages,1
integrate with,1
interface customization,1
internet access,1
ipad and,1
iphone ipad,1
is an,1
is backed,1
is https,1
is included,1
is kept,1
is required,1
it easy,1
it for,1
it is,1
it supports,1
itouch in,1
itunes apple,1
itunes university,1
itunesu itunes,1
keep core,1
kept don,1
keyboards for,1
kids and,1
languages can,1
languages including,1
libraries of,1
libraries variable,1
library share,1
life multiple,1
like pandora,1
limitations including,1
line working,1
lingual support,1
link pages,1
lists for,1
lists to,1
llc is,1
location reminders,1
locations through,1
logging with,1
losing your,1
major breakthrough,1
making it,1
many innovative,1
many many,1
many popular,1
many scanning,1
many user,1
media with,1
member of,1
members or,1
merge all,1
minutes you,1
mobile is,1
modeling download,1
moms with,1
most bt,1
most languages,1
most used,1
motor adjustments,1
multiple authors,1
mytalk llc,1
mytalk mobile,1
mytalk offers,1
mytalktools content,1
mytalktools is,1
needs and,1
needs to,1
needs works,1
no other,1
of boards,1
of family,1
of gps,1
of images,1
of moms,1
of mytalk,1
of use,1
offers ease,1
on line,1
on mytalk,1
only solution,1
options mytalk,1
or community,1
or geo,1
or goosen,1
or link,1
or on,1
or others,1
or predicted,1
or restore,1
or select,1
or teachers,1
or texts,1
or visual,1
other diagnoses,1
other media,1
other physical,1
other software,1
others bi,1
others get,1
others integrate,1
our patented,1
our public,1
our repeat,1
over 100,1
page using,1
pages user,1
pages with,1
palsy hearing,1
pandora facetime,1
parents family,1
parents with,1
participate in,1
patented sync,1
pdfs or,1
photographs videos,1
photos and,1
phrase bar,1
phrases popup,1
phrases use,1
physical limitations,1
point in,1
popular switches,1
popup keyboards,1
popup lists,1
popup recents,1
portable effective,1
pre programmed,1
predicted word,1
previews with,1
print hard,1
professional communities,1
programmed boards,1
programmed to,1
promote quality,1
provide continuous,1
public submissions,1
purchase for,1
quality apps,1
quick access,1
recents most,1
recorded audio,1
redo or,1
refinement search,1
relevant choices,1
reminders continued,1
reminders or,1
repeat function,1
represent a,1
required but,1
restore create,1
running in,1
s specific,1
savings in,1
scanning and,1
scanning features,1
search integrate,1
search mytalktools,1
see how,1
seeking to,1
select simple,1
selections or,1
share pdfs,1
sharing libraries,1
simple choices,1
simple it,1
simultaneously 20,1
simultaneously supports,1
single page,1
sizes drag,1
software is,1
solution for,1
solution no,1
solution that,1
spanish french,1
specific needs,1
speech voice,1
stand alone,1
standard content,1
standard locations,1
submissions library,1
support 2,1
support a,1
support most,1
support with,1
supported use,1
supports browser,1
supports users,1
switches additional,1
switches and,1
sync technology,1
syndrome cerebral,1
take the,1
teachers therapists,1
teachers through,1
technology to,1
text to,1
texts access,1
that enables,1
that impair,1
that simultaneously,1
that you,1
the background,1
the itunes,1
the only,1
the user,1
the web,1
their needs,1
them a,1
therapists caregivers,1
they represent,1
those around,1
through a,1
through email,1
through our,1
time savings,1
time with,1
to 20,1
to a,1
to add,1
to almost,1
to categorize,1
to communicate,1
to enable,1
to express,1
to generate,1
to merge,1
to promote,1
to provide,1
to relevant,1
to see,1
to speech,1
to support,1
to the,1
to those,1
together they,1
tool take,1
trial of,1
tts languages,1
tv iphone,1
undo redo,1
university course,1
up on,1
up to,1
use and,1
use fitzgerald,1
use of,1
use phrase,1
use popup,1
use videos,1
use without,1
used or,1
used simultaneously,1
user interface,1
user logging,1
user s,1
users teachers,1
users to,1
using apple,1
using our,1
variable cell,1
variant selections,1
variants use,1
variety of,1
version you,1
video and,1
videos and,1
videos to,1
visual impairment,1
visual impairments,1
voice is,1
voice the,1
voices available,1
wab don,1
watch apple,1
way that,1
we include,1
web or,1
winning app,1
with automatic,1
with communication,1
with down,1
with geo,1
with others,1
with parents,1
with undo,1
with word,1
without access,1
without internet,1
word lists,1
word variants,1
words and,1
words in,1
words use,1
working previews,1
works directly,1
works without,1
workspace every,1
workspace together,1
you choose,1
you communicate,1
you create,1
your needs,1
