word
this is
is a
a classroom
classroom dream
dream come
come true
true i've
i've used
used mytalktools
mytalktools in
in my
my classroom
classroom for
for a
a long
long time
time and
and love
love it
it in
in fact
fact it
it just
just keeps
keeps getting
getting better
better because
because the
the company
company listens
listens to
to its
its users
users and
and keeps
keeps adding
adding features
features mytalk
mytalk is
is perfect
perfect for
for teaching
teaching and
and assessing
assessing my
my students
students on
on the
the lowest
lowest one
one percent
percent level
level they
they are
are slow
slow learners
learners but
but can
can and
and do
do learn
learn as
as a
a music
music teacher
teacher mytalktools
mytalktools is
is the
the only
only app
app that
that can
can make
make djs
djs and
and vjs
vjs out
out of
of any
any student
student who
who can
can select
select by
by eye
eye gaze
gaze or
or touch
touch via
via apple
apple tv
tv add
add the
the image
image or
or video
video to
to an
an lcd
lcd screen
screen and
and pump
pump the
the sound
sound through
through a
a sound
sound system
system cool
cool additionally
additionally mytalk
mytalk can
can mimic
mimic the
the alternate
alternate assessment
assessment my
my state
state has
has where
where there
there are
are three
three answers
answers and
and if
if a
a student
student selects
selects the
the incorrect
incorrect answer
answer the
the choice
choice disapears
disapears allowing
allowing the
the student
student to
to try
try again
again from
from two
two choices
choices naturally
naturally students
students give
give an
an ipad
ipad more
more attention
attention than
than the
the boaring
boaring black
black and
and white
white line
line drawings
drawings used
used for
for testing
testing at
at one
one school
school show
show i
i programmed
programmed all
all the
the comments
comments that
that an
an mc
mc would
would say
say so
so students
students could
could run
run the
the show
show with
with a
a touch
touch of
of a
a finger
finger the
the acapela
acapela voice
voice was
was so
so good
good that
that someone
someone asked
asked who
who the
the mc
mc was
was when
when she
she watched
watched the
the show
show on
on closed
closed circuit
circuit tv
tv the
the cameraman
cameraman didn't
didn't pick
pick up
up the
the students
students so
so she
she didn't
didn't have
have an
an idea
idea is
is was
was students
students using
using mytalktools
mytalktools i've
i've even
even made
made a
a board
board for
for myself
myself in
in case
case of
of the
the event
event that
that one
one day
day i
i might
might need
need to
to communicate
communicate let's
let's say
say where
where pain
pain is
is but
but can't
can't talk
talk as
as magical
magical as
as it
it sounds
sounds people
people with
with a
a degenerative
degenerative condition
condition can
can bank
bank their
their voice
voice for
for the
the future
future the
the free
free version
version will
will give
give you
you an
an idea
idea of
of if
if it's
it's for
for you
you because
because mytalktools
mytalktools has
has so
so many
many features
features there
there is
is a
a learning
learning curve
curve but
but the
the tutorials
tutorials are
are well
well made
made start
start small
small and
and your
your find
find before
before long
long you
you will
will be
be full
full of
of implimentation
implimentation ideas
ideas good
good luck
luck and
and have
have fun
fun june
june 2016
2016 update
update mytalktools
mytalktools had
had continued
continued to
to listen
listen to
to its
its users
users through
through the
the years
years there
there are
are more
more features
features than
than ever
ever and
and they
they are
are easier
easier to
to use
use to
to the
the novice
novice mytalktools
mytalktools may
may not
not look
look like
like much
much from
from its
its simple
simple framework
framework the
the beauty
beauty is
is the
the simplicity
simplicity of
of use
use for
for the
the board
board creator
creator and
and the
the end
end user
user once
once the
the basics
basics are
are mastered
mastered there
there are
are lots
lots of
of attribuites
attribuites to
to explore
explore i
i love
love being
being able
able to
to save
save units
units of
of work
work throughout
throughout the
the school
school year
year and
and return
return to
to them
them later
later with
with the
the option
option to
to edit
edit them
them to
to meet
meet new
new students
students needs
needs more
more updates
updates mytalktools
mytalktools can
can mimic
mimic the
the expensive
expensive dangerous
dangerous infrared
infrared eye
eye gaze
gaze systems
systems they
they can
can cause
cause seizures
seizures by
by using
using the
the camera
camera that
that faces
faces the
the user
user to
to look
look for
for eyes
eyes dwelling
dwelling on
on a
a cell
cell or
or looking
looking for
for an
an eye
eye wink
wink movement
movement to
to use
use as
as a
a mouse
mouse click
click it
it has
has been
been working
working for
for my
my students
students with
with severe
severe cognitive
cognitive disabilities
disabilities and
and physical
physical challenges
challenges they
they get
get so
so excited
excited then
then they
they can
can actually
actually control
control something
something note
note that
that one
one needs
needs good
good lighting
lighting and
and a
a background
background that
that isn't
isn't busy
busy visually
visually mytalktools
