word,n
is easy to,5
easy to use,4
for my students,3
i have used,3
in my classroom,3
it is easy,3
my students a,3
my students with,3
my talk tools,3
on the ipad,3
students a voice,3
this app is,3
this app it,3
this is a,3
to set up,3
to use and,3
a bit of,2
a great app,2
a lot of,2
a speech therapist,2
a voice they,2
a web based,2
about this app,2
am a speech,2
amazing any issue,2
and add cells,2
and has countless,2
and password and,2
and sub boards,2
any issue i've,2
app is easy,2
app it has,2
been swiftly resolved,2
before but engages,2
boards and sub,2
boards for my,2
but engages them,2
by their wonderful,2
can mimic the,2
cannot say enough,2
classroom i cannot,2
communication device or,2
communication realm for,2
countless customization options,2
customer service is,2
customization options customer,2
delete and add,2
didn't have before,2
disabilities it not,2
doors in the,2
easy to set,2
engages them in,2
enough good things,2
ever had has,2
gives my students,2
good things about,2
had has been,2
has been swiftly,2
has countless customization,2
has opened doors,2
have before but,2
have found it,2
i am a,2
i cannot say,2
i have been,2
i have found,2
i've ever had,2
if a student,2
in learning this,2
in the communication,2
in the community,2
is amazing any,2
issue i've ever,2
it has opened,2
it not only,2
learning curve but,2
learning this app,2
my classroom for,2
my classroom i,2
mytalktools in my,2
name and password,2
not only gives,2
of my pts,2
only gives my,2
opened doors in,2
options customer service,2
realm for my,2
resolved by their,2
revolutionizes my classroom,2
say enough good,2
service is amazing,2
severe cognitive disabilities,2
significant disabilities it,2
so much easier,2
students with severe,2
students with significant,2
swiftly resolved by,2
the communication realm,2
the professional workspace,2
the web authoring,2
their wonderful staff,2
them in learning,2
there is a,2
they didn't have,2
things about this,2
this app with,2
to create an,2
to its users,2
to use the,2
use and has,2
use the trial,2
used mytalktools in,2
voice they didn't,2
web authoring environment,2
with a web,2
with severe cognitive,2
with significant disabilities,2
without changing the,2
1 2 year,1
1 when authoring,1
2 1 2,1
2 say and,1
2 the images,1
2 the web,1
2 year old,1
20 oral class,1
20 years serving,1
2000 this will,1
2016 update mytalktools,1
26 has autism,1
3 years ago,1
30 day trial,1
4 years now,1
4 years of,1
6 th year,1
a a very,1
a affable price,1
a b c,1
a background that,1
a board for,1
a breeze to,1
a cell or,1
a certain brand,1
a classroom dream,1
a client can,1
a communication device,1
a communication tool,1
a computer and,1
a couple hours,1
a couple of,1
a degenerative condition,1
a device that,1
a few minutes,1
a few people,1
a few times,1
a field of,1
a finger the,1
a flat hierarchy,1
a form for,1
a free 30,1
a great concept,1
a keyword search,1
a learning curve,1
a little tricky,1
a long time,1
a lot without,1
a matter of,1
a mouse click,1
a music teacher,1
a must amazing,1
a name and,1
a perfect fit,1
a picture of,1
a plus.i also,1
a restaurant activities,1
a sound system,1
a speech pathologist,1
a state paraeducator,1
a student doesn't,1
a student selects,1
a student who,1
a supported level,1
a teacher associate,1
a tiny square,1
a touch of,1
a user manual,1
a username and,1
a variety of,1
a very good,1
a very powerful,1
a voice to,1
a voice today,1
a wonderful tool,1
aac option this,1
aac user needs,1
aac way to,1
able to communicate,1
able to customize,1
able to get,1
able to save,1
about 3 years,1
about family contact,1
about weekend activities,1
acapela voice was,1
access to aac,1
access to their,1
achievement mytalktools can,1
activities she enjoys,1
activities that he,1
activities to choose,1
actual restaurants commercial,1
actually control something,1
add cells on,1
add cells without,1
add in the,1
add my voice,1
add the image,1
added fee of,1
adding and deleting,1
adding features mytalk,1
