word,n
this app,16
i have,11
you can,10
for my,9
to use,9
easy to,8
my students,7
with a,7
as a,6
in the,6
is a,6
it is,6
the ipad,6
this is,6
and the,5
app is,5
have been,5
i am,5
is easy,5
my classroom,5
my talk,5
a voice,4
able to,4
for the,4
from the,4
has been,4
i love,4
i was,4
in my,4
is amazing,4
it has,4
it was,4
of the,4
on the,4
set up,4
so much,4
students with,4
there are,4
they are,4
use and,4
use the,4
a few,3
a great,3
a lot,3
a speech,3
a student,3
all the,3
an ipad,3
and a,3
and i,3
and password,3
app for,3
app i,3
app it,3
authoring environment,3
boards for,3
customer service,3
device or,3
didn't have,3
easier to,3
for an,3
found it,3
have used,3
i can,3
i cannot,3
in a,3
it seems,3
it up,3
my pts,3
my son,3
of my,3
on a,3
speech therapist,3
students a,3
talk tools,3
the only,3
the web,3
through the,3
to a,3
to go,3
to see,3
to set,3
up the,3
used the,3
we use,3
2 the,2
4 years,2
a bit,2
a communication,2
a couple,2
a very,2
a web,2
about this,2
access to,2
add cells,2
am a,2
amazing any,2
an idea,2
and add,2
and has,2
and in,2
and love,2
and needs,2
and sub,2
and this,2
and your,2
any issue,2
app not,2
app the,2
app with,2
app you,2
apple tv,2
be a,2
because the,2
been swiftly,2
before but,2
bit of,2
board is,2
boards and,2
boards are,2
boards on,2
but can,2
but engages,2
but i,2
but it,2
by their,2
by typing,2
can be,2
can have,2
can make,2
can mimic,2
can tell,2
cannot say,2
cells on,2
changing the,2
classroom for,2
classroom i,2
cognitive disabilities,2
communication device,2
communication realm,2
countless customization,2
create an,2
curve but,2
customization options,2
data is,2
delete and,2
disabilities it,2
doors in,2
engages them,2
enough good,2
ever had,2
eye gaze,2
free version,2
give you,2
gives my,2
go to,2
good app,2
good things,2
great app,2
had has,2
has countless,2
has opened,2
have before,2
have found,2
have to,2
his own,2
how i,2
i like,2
i programmed,2
i've ever,2
if a,2
in learning,2
is great,2
is that,2
is the,2
issue i've,2
it i,2
it not,2
it's a,2
it's pretty,2
its users,2
learning curve,2
learning this,2
level they,2
like how,2
like this,2
line drawings,2
lot of,2
love how,2
love it,2
mimic the,2
much easier,2
mytalk tools,2
mytalktools can,2
mytalktools in,2
mytalktools is,2
name and,2
non verbal,2
not only,2
now it,2
of any,2
of time,2
of use,2
on my,2
on your,2
once i,2
only a,2
only gives,2
opened doors,2
option to,2
options customer,2
password and,2
pictures from,2
professional workspace,2
realm for,2
recommend this,2
resolved by,2
revolutionizes my,2
say enough,2
service is,2
severe cognitive,2
significant disabilities,2
so good,2
some of,2
student who,2
sub boards,2
swiftly resolved,2
thank you,2
that can,2
that is,2
that one,2
that the,2
that you,2
the app,2
the board,2
the communication,2
the community,2
the picture,2
the professional,2
the show,2
the sound,2
the students,2
the trial,2
the tutorials,2
the whole,2
the workspace,2
their board,2
their wonderful,2
them in,2
there i,2
there is,2
they can,2
they didn't,2
things about,2
this one,2
those who,2
to be,2
to communicate,2
to create,2
to customize,2
to find,2
to help,2
to its,2
to make,2
to the,2
tool to,2
up and,2
use app,2
used mytalktools,2
using the,2
using workspace,2
very much,2
voice they,2
way to,2
web authoring,2
web based,2
will be,2
with communication,2
with disabilities,2
with my,2
with severe,2
with significant,2
