word,n
people with complex,8
be able to,7
with complex speech,7
complex speech needs,6
on social media,6
for people with,5
complex communication needs,4
friends and family,4
i had been,4
i was a,4
of my life,4
online social media,4
social media can,4
to be able,4
using social media,4
able to communicate,3
and alternative communication,3
and online social,3
augmentative and alternative,3
i want to,3
i would never,3
my ability to,3
of social media,3
some of the,3
that i could,3
the communication partners,3
to use the,3
who use aac,3
with complex communication,3
with friends and,3
a means for,2
a range of,2
a way to,2
able to be,2
alternative communication aac,2
as a means,2
as well as,2
back to life,2
but as i,2
can be used,2
come back to,2
communication for people,2
digital technology and,2
for self determination,2
for those with,2
had come back,2
her to just,2
i began to,2
i had a,2
i had come,2
i learned how,2
i lived in,2
i realized that,2
i was shocked,2
if the communication,2
in a wheelchair,2
in social media,2
it can also,2
know how to,2
life i was,2
may not be,2
me i was,2
me that i,2
me the best,2
media for aac,2
my life i,2
my parents in,2
no one would,2
not be able,2
of a boy,2
of augmentative and,2
of the day,2
of the device,2
one would ever,2
opportunities for self,2
over and over,2
part of the,2
people who use,2
range of vocabulary,2
rest of my,2
she has less,2
social media apps,2
social media as,2
social media for,2
social media has,2
social media helps,2
social media is,2
social media they,2
social media to,2
social media with,2
technology and online,2
that can be,2
that i had,2
that i was,2
that it has,2
the benefits of,2
the best they,2
the care home,2
the communication partner,2
the device it,2
the first time,2
the internet and,2
the rest of,2
the touchchat application,2
their friends are,2
those i had,2
time spent online,2
to be an,2
to communicate about,2
to engage with,2
to get my,2
to just 10,2
to start with,2
to the care,2
using digital technology,2
why not use,2
with core vocabulary,2
with others and,2
with physical disabilities,2
with social media,2
would like to,2
would never be,2
10 buttons is,1
10 buttons then,1
10 core vocabulary,1
10 different items,1
10 or so,1
10 years people,1
12 years of,1
13 long years,1
2 buttons that,1
20 all the,1
2018 77.6 of,1
2022 after covid,1
2022 concluded that,1
2022 statistics report,1
25 adolescents and,1
42 button one,1
42 buttons are,1
47 of the,1
5 tangible items,1
77.6 of people,1
81.3 of time,1
9 year old,1
a 2022 statistics,1
a 9 year,1
a aac device,1
a bad day,1
a bias for,1
a bigger page,1
a blank canvas,1
a body that,1
a boy in,1
a boy people,1
a boy were,1
