word,n
the app is,3
children s voices,2
proloquo2go is a,2
so you can,2
use the app,2
000 fringe word,1
000 symbols or,1
10 000 fringe,1
100 included downloadable,1
200 400 words,1
23 pre programmed,1
25 000 symbols,1
400 words make,1
7 days a,1
80 of what,1
a 10 000,1
a breeze quickly,1
a grid keyboard,1
a helping hand,1
a language and,1
a person s,1
a qwerty keyboard,1
a simple yet,1
a typing view,1
a week and,1
aac augmentative and,1
aac best practices,1
aac our website,1
aac section and,1
aac solutions the,1
aac system to,1
access and motor,1
access is customizable,1
accessed by going,1
accessibility settings which,1
act as the,1
activities for teaching,1
add new words,1
adult and children,1
advanced communicators parents,1
all of these,1
allowing seamless bilingual,1
alphabetically for people,1
also connect directly,1
also lets you,1
alternative communication tool,1
always happy to,1
an aac system,1
an easy to,1
and accessibility settings,1
and advanced communicators,1
and alternative communication,1
and apple s,1
and can be,1
and children s,1
and customizable vocabulary,1
and dutch and,1
and easily add,1
and grow studies,1
and grow with,1
and is always,1
and motor planning,1
and others with,1
and region for,1
and speak besides,1
and supports bilingual,1
and the assistiveware,1
and their location,1
and users around,1
and users on,1
and vision impairments,1
and word prediction,1
angelman syndrome and,1
any questions our,1
app crescendo puts,1
app for people,1
app includes a,1
app is available,1
app is fully,1
app is used,1
app or selecting,1
app s built,1
app your way,1
appearance to access,1
apple s voiceover,1
are gradually revealed,1
are there whenever,1
are typing hello,1
around the world,1
arranged alphabetically for,1
articles in proloquo2go,1
articles in the,1
as core words,1
as the basis,1
as the gold,1
as their communication,1
assistiveware core word,1
assistiveware is here,1
at the same,1
augmentative and alternative,1
autism down syndrome,1
available 7 days,1
available in english,1
based crescendo vocabulary,1
based on what,1
basis of proloquo2go,1
be accessed by,1
be used at,1
be utilized to,1
beginning and advanced,1
being understood featuring,1
besides tapping images,1
best practices like,1
bilingual speech over,1
bilingual use so,1
both beginning and,1
breeze quickly and,1
build language skills,1
built in library,1
by going to,1
by people with,1
by step helping,1
by taking pictures,1
can also connect,1
can be accessed,1
can be used,1
can be utilized,1
can grow from,1
can make it,1
can switch languages,1
cannot speak or,1
cerebral palsy angelman,1
challenges and vision,1
choices to use,1
classroom includes activities,1
communication app for,1
communication effectively you,1
communication expands easy,1
communication supporting both,1
communication tool the,1
communicators parents therapists,1
community of parents,1
connect directly with,1
consistent locations for,1
core word classroom,1
core words in,1
core words they,1
crescendo offers no,1
crescendo puts core,1
crescendo vocabulary two,1
crescendo vocabulary users,1
customizable and can,1
customizable so you,1
customizable vocabulary levels,1
customizing proloquo2go is,1
days a week,1
develop language skills,1
development with a,1
difficulties the app,1
directly with our,1
down syndrome cerebral,1
downloadable natural sounding,1
dutch and supports,1
easily add new,1
easy access and,1
easy editing customizing,1
easy to understand,1
easy to use,1
editing customizing proloquo2go,1
effectively you can,1
english spanish french,1
every step of,1
everything from appearance,1
expands easy editing,1
experienced typists proloquo2go,1
facebook groups if,1
featuring natural sounding,1
finally with progressive,1
fine motor challenges,1
fly learn and,1
for easy access,1
for more experienced,1
for people learning,1
for people who,1
for teaching communication,1
for the crescendo,1
for users with,1
for you every,1
french and dutch,1
fringe word vocabulary,1
from appearance to,1
from single words,1
from your photo,1
full sentences in,1
fully customizable and,1
going to the,1
gold standard in,1
gradually revealed step,1
grid keyboard arranged,1
grid sizes and,1
groups if you,1
grow from single,1
grow studies show,1
grow with a,1
hand assistiveware is,1
happy to help,1
has easy to,1
have any questions,1
hello proloquo2go lets,1
help all of,1
help articles in,1
help being understood,1
helping hand assistiveware,1
helping users learn,1
here for you,1
if you have,1
images proloquo2go also,1
images type words,1
impairments proloquo2go offers,1
in aac solutions,1
in consistent locations,1
in english spanish,1
in library of,1
in proloquo2go are,1
in the learn,1
in the same,1
included downloadable natural,1
includes a grid,1
includes a typing,1
includes activities for,1
including real children,1
is a breeze,1
is a simple,1
is always happy,1
is an easy,1
is available 7,1
is available in,1
is customizable so,1
is fully customizable,1
is here for,1
is used by,1
it your own,1
just 200 400,1
keyboard and word,1
keyboard arranged alphabetically,1
known as core,1
language and region,1
language development with,1
language skills and,1
language skills crescendo,1
language words are,1
languages can be,1
languages on the,1
learn aac section,1
learn and grow,1
learn words and,1
learning to type,1
lets you select,1
lets you type,1
levels finally with,1
library for users,1
library of 25,1
like 23 pre,1
like modeling where,1
limit on language,1
location as their,1
locations for easy,1
make it your,1
make up 80,1
modeling where you,1
more experienced typists,1
motor challenges and,1
motor planning the,1
natural sounding adult,1
natural sounding voices,1
need help being,1
need them new,1
new to aac,1
new words use,1
no limit on,1
of 25 000,1
of parents professionals,1
of proloquo2go s,1
of the way,1
of these online,1
of what we,1
