word
tap images
images type
type words
words speak
speak proloquo2go
proloquo2go is
is an
an easy
easy to
to use
use communication
communication app
app for
for people
people who
who cannot
cannot speak
speak or
or need
need help
help being
being understood
understood featuring
featuring natural
natural sounding
sounding voices
voices including
including real
real children
children s
s voices
voices proloquo2go
proloquo2go is
is a
a simple
simple yet
yet powerful
powerful aac
aac augmentative
augmentative and
and alternative
alternative communication
communication tool
tool the
the app
app is
is fully
fully customizable
customizable and
and can
can be
be utilized
utilized to
to build
build language
language skills
skills and
and grow
grow with
with a
a person
person s
s communication
communication supporting
supporting both
both beginning
beginning and
and advanced
advanced communicators
communicators parents
parents therapists
therapists teachers
teachers and
and users
users around
around the
the world
world recognize
recognize proloquo2go
proloquo2go as
as the
the gold
gold standard
standard in
in aac
aac solutions
solutions the
the app
app is
is used
used by
by people
people with
with autism
autism down
down syndrome
syndrome cerebral
cerebral palsy
palsy angelman
angelman syndrome
syndrome and
and others
others with
with speech
speech difficulties
difficulties the
the app
app is
is available
available in
in english
english spanish
spanish french
french and
and dutch
dutch and
and supports
supports bilingual
bilingual use
use so
so you
you can
can switch
switch languages
languages on
on the
the fly
fly learn
learn and
and grow
grow studies
studies show
show that
that just
just 200
200 400
400 words
words make
make up
up 80
80 of
of what
what we
we say
say known
known as
as core
core words
words they
they act
act as
as the
the basis
basis of
of proloquo2go
proloquo2go s
s research
research based
based crescendo
crescendo vocabulary
vocabulary users
users can
can grow
grow from
from single
single words
words to
to full
full sentences
sentences in
in the
the same
same app
app crescendo
crescendo puts
puts core
core words
words in
in consistent
consistent locations
locations for
for easy
easy access
access and
and motor
motor planning
planning the
the vocabulary
vocabulary works
works with
with aac
aac best
best practices
practices like
like modeling
modeling where
where you
you use
use an
an aac
aac system
system to
to talk
talk with
with the
the user
user to
to develop
develop language
language skills
skills crescendo
crescendo offers
offers no
no limit
limit on
on language
language development
development with
with a
a 10
10 000
000 fringe
fringe word
word vocabulary
vocabulary and
and customizable
customizable vocabulary
vocabulary levels
levels finally
finally with
with progressive
progressive language
language words
words are
are gradually
gradually revealed
revealed step
step by
by step
step helping
helping users
users learn
learn words
words and
and their
their location
location as
as their
their communication
communication expands
expands easy
easy editing
editing customizing
customizing proloquo2go
proloquo2go is
is a
a breeze
breeze quickly
quickly and
and easily
easily add
add new
new words
words use
use the
the app
app s
s built
built in
in library
library of
of 25
25 000
000 symbols
symbols or
or use
use your
your own
own photos
photos by
by taking
taking pictures
pictures within
within the
the app
app or
or selecting
selecting them
them from
from your
your photo
photo library
library for
for users
users with
with fine
fine motor
motor challenges
challenges and
and vision
vision impairments
impairments proloquo2go
proloquo2go offers
offers options
options like
like 23
23 pre
pre programmed
programmed grid
grid sizes
sizes and
and accessibility
accessibility settings
settings which
which support
support switch
switch scanning
scanning and
and apple
apple s
s voiceover
voiceover screen
screen reader
reader everything
everything from
from appearance
appearance to
to access
access is
is customizable
customizable so
so you
you can
can make
make it
it your
your own
own type
type and
and speak
speak besides
besides tapping
tapping images
images proloquo2go
proloquo2go also
also lets
lets you
you type
type what
what you
you want
want to
to say
say the
the app
app includes
includes a
a grid
grid keyboard
keyboard arranged
arranged alphabetically
alphabetically for
for people
people learning
learning to
to type
type for
for more
more experienced
experienced typists
typists proloquo2go
proloquo2go includes
includes a
a typing
typing view
view with
with a
a qwerty
qwerty keyboard
keyboard and
and word
word prediction
prediction that
that offers
offers suggestions
suggestions based
based on
on what
what you
you are
are typing
typing hello
hello proloquo2go
proloquo2go lets
lets you
you select
select a
a language
language and
and region
region for
for the
the crescendo
crescendo vocabulary
vocabulary two
two languages
languages can
can be
be used
used at
at the
the same
same time
time allowing
allowing seamless
seamless bilingual
bilingual speech
speech over
over 100
100 included
included downloadable
downloadable natural
natural sounding
sounding adult
adult and
and children
children s
s voices
voices rounds
rounds out
out your
your choices
choices to
to use
use the
the app
app your
your way
way a
a helping
helping hand
hand assistiveware
assistiveware is
is here
here for
for you
you every
every step
step of
of the
the way
way help
help articles
articles in
in proloquo2go
proloquo2go are
are there
there whenever
whenever you
you need
need them
them new
new to
to aac
aac our
our website
website has
has easy
easy to
to understand
understand articles
articles in
in the
the learn
learn aac
aac section
section and
and the
the assistiveware
assistiveware core
core word
word classroom
classroom includes
includes activities
activities for
for teaching
teaching communication
communication effectively
effectively you
you can
can also
also connect
connect directly
directly with
with our
our community
community of
of parents
parents professionals
professionals and
and users
users on
on our
our facebook
facebook groups
groups if
if you
you have
have any
any questions
questions our
our support
support team
team is
is available
available 7
7 days
days a
a week
week and
and is
is always
always happy
happy to
to help
help all
all of
of these
these online
online resources
resources can
can be
be accessed
accessed by
by going
going to
to the
the assistiveware
assistiveware website
