word
tap images type
images type words
type words speak
words speak proloquo2go
speak proloquo2go is
proloquo2go is an
is an easy
an easy to
easy to use
to use communication
use communication app
communication app for
app for people
for people who
people who cannot
who cannot speak
cannot speak or
speak or need
or need help
need help being
help being understood
being understood featuring
understood featuring natural
featuring natural sounding
natural sounding voices
sounding voices including
voices including real
including real children
real children s
children s voices
s voices proloquo2go
voices proloquo2go is
proloquo2go is a
is a simple
a simple yet
simple yet powerful
yet powerful aac
powerful aac augmentative
aac augmentative and
augmentative and alternative
and alternative communication
alternative communication tool
communication tool the
tool the app
the app is
app is fully
is fully customizable
fully customizable and
customizable and can
and can be
can be utilized
be utilized to
utilized to build
to build language
build language skills
language skills and
skills and grow
and grow with
grow with a
with a person
a person s
person s communication
s communication supporting
communication supporting both
supporting both beginning
both beginning and
beginning and advanced
and advanced communicators
advanced communicators parents
communicators parents therapists
parents therapists teachers
therapists teachers and
teachers and users
and users around
users around the
around the world
the world recognize
world recognize proloquo2go
recognize proloquo2go as
proloquo2go as the
as the gold
the gold standard
gold standard in
standard in aac
in aac solutions
aac solutions the
solutions the app
the app is
app is used
is used by
used by people
by people with
people with autism
with autism down
autism down syndrome
down syndrome cerebral
syndrome cerebral palsy
cerebral palsy angelman
palsy angelman syndrome
angelman syndrome and
syndrome and others
and others with
others with speech
with speech difficulties
speech difficulties the
difficulties the app
the app is
app is available
is available in
available in english
in english spanish
english spanish french
spanish french and
french and dutch
and dutch and
dutch and supports
and supports bilingual
supports bilingual use
bilingual use so
use so you
so you can
you can switch
can switch languages
switch languages on
languages on the
on the fly
the fly learn
fly learn and
learn and grow
and grow studies
grow studies show
studies show that
show that just
that just 200
just 200 400
200 400 words
400 words make
words make up
make up 80
up 80 of
80 of what
of what we
what we say
we say known
say known as
known as core
as core words
core words they
words they act
they act as
act as the
as the basis
the basis of
basis of proloquo2go
of proloquo2go s
proloquo2go s research
s research based
research based crescendo
based crescendo vocabulary
crescendo vocabulary users
vocabulary users can
users can grow
can grow from
grow from single
from single words
single words to
words to full
to full sentences
full sentences in
sentences in the
in the same
the same app
same app crescendo
app crescendo puts
crescendo puts core
puts core words
core words in
words in consistent
in consistent locations
consistent locations for
locations for easy
for easy access
easy access and
access and motor
and motor planning
motor planning the
planning the vocabulary
the vocabulary works
vocabulary works with
works with aac
with aac best
aac best practices
best practices like
practices like modeling
like modeling where
modeling where you
where you use
you use an
use an aac
an aac system
aac system to
system to talk
to talk with
talk with the
with the user
the user to
user to develop
to develop language
develop language skills
language skills crescendo
skills crescendo offers
crescendo offers no
offers no limit
no limit on
limit on language
on language development
language development with
development with a
with a 10
a 10 000
10 000 fringe
000 fringe word
fringe word vocabulary
word vocabulary and
vocabulary and customizable
and customizable vocabulary
customizable vocabulary levels
vocabulary levels finally
levels finally with
finally with progressive
with progressive language
progressive language words
language words are
words are gradually
are gradually revealed
gradually revealed step
revealed step by
step by step
by step helping
step helping users
helping users learn
users learn words
learn words and
words and their
and their location
their location as
location as their
as their communication
their communication expands
communication expands easy
expands easy editing
easy editing customizing
editing customizing proloquo2go
customizing proloquo2go is
proloquo2go is a
is a breeze
a breeze quickly
breeze quickly and
quickly and easily
and easily add
easily add new
add new words
new words use
words use the
use the app
the app s
app s built
s built in
built in library
in library of
library of 25
of 25 000
25 000 symbols
000 symbols or
symbols or use
or use your
use your own
your own photos
own photos by
photos by taking
by taking pictures
taking pictures within
pictures within the
within the app
the app or
app or selecting
or selecting them
selecting them from
them from your
from your photo
your photo library
photo library for
library for users
for users with
users with fine
with fine motor
fine motor challenges
motor challenges and
challenges and vision
and vision impairments
vision impairments proloquo2go
impairments proloquo2go offers
proloquo2go offers options
offers options like
options like 23
like 23 pre
23 pre programmed
pre programmed grid
programmed grid sizes
grid sizes and
sizes and accessibility
and accessibility settings
accessibility settings which
settings which support
which support switch
support switch scanning
switch scanning and
scanning and apple
and apple s
apple s voiceover
s voiceover screen
voiceover screen reader
screen reader everything
reader everything from
everything from appearance
from appearance to
appearance to access
to access is
access is customizable
is customizable so
customizable so you
so you can
you can make
can make it
make it your
it your own
your own type
own type and
type and speak
and speak besides
speak besides tapping
besides tapping images
tapping images proloquo2go
images proloquo2go also
proloquo2go also lets
also lets you
lets you type
you type what
type what you
what you want
you want to
want to say
to say the
say the app
the app includes
app includes a
includes a grid
a grid keyboard
grid keyboard arranged
keyboard arranged alphabetically
arranged alphabetically for
alphabetically for people
for people learning
people learning to
learning to type
to type for
type for more
for more experienced
more experienced typists
experienced typists proloquo2go
typists proloquo2go includes
proloquo2go includes a
includes a typing
a typing view
typing view with
view with a
with a qwerty
a qwerty keyboard
qwerty keyboard and
keyboard and word
and word prediction
word prediction that
prediction that offers
that offers suggestions
offers suggestions based
suggestions based on
based on what
on what you
what you are
you are typing
are typing hello
typing hello proloquo2go
hello proloquo2go lets
proloquo2go lets you
lets you select
you select a
select a language
a language and
language and region
and region for
region for the
for the crescendo
the crescendo vocabulary
crescendo vocabulary two
vocabulary two languages
two languages can
languages can be
can be used
be used at
used at the
at the same
the same time
same time allowing
time allowing seamless
allowing seamless bilingual
seamless bilingual speech
bilingual speech over
speech over 100
over 100 included
100 included downloadable
included downloadable natural
downloadable natural sounding
natural sounding adult
sounding adult and
adult and children
and children s
children s voices
s voices rounds
voices rounds out
rounds out your
out your choices
your choices to
choices to use
to use the
use the app
the app your
app your way
your way a
way a helping
a helping hand
helping hand assistiveware
hand assistiveware is
assistiveware is here
is here for
here for you
for you every
you every step
every step of
step of the
of the way
the way help
way help articles
help articles in
articles in proloquo2go
in proloquo2go are
proloquo2go are there
are there whenever
there whenever you
whenever you need
you need them
need them new
them new to
new to aac
to aac our
aac our website
our website has
website has easy
has easy to
easy to understand
to understand articles
understand articles in
articles in the
in the learn
the learn aac
learn aac section
aac section and
section and the
and the assistiveware
the assistiveware core
assistiveware core word
core word classroom
word classroom includes
classroom includes activities
includes activities for
activities for teaching
for teaching communication
teaching communication effectively
communication effectively you
effectively you can
you can also
can also connect
also connect directly
connect directly with
directly with our
with our community
our community of
community of parents
of parents professionals
parents professionals and
professionals and users
and users on
users on our
on our facebook
our facebook groups
facebook groups if
groups if you
if you have
you have any
have any questions
any questions our
questions our support
our support team
support team is
team is available
is available 7
available 7 days
7 days a
days a week
a week and
week and is
and is always
is always happy
always happy to
happy to help
to help all
help all of
all of these
of these online
these online resources
online resources can
resources can be
can be accessed
be accessed by
accessed by going
by going to
going to the
to the assistiveware
the assistiveware website
