word
a must have
must have speech
have speech device
speech device the
device the proloquo2go
the proloquo2go app
proloquo2go app on
app on my
on my son
my son device
son device is
device is the
is the best
the best app
best app you
app you can
you can get
can get with
get with my
with my son
my son having
son having down
having down syndrome
down syndrome kleinfelter
syndrome kleinfelter syndrome
kleinfelter syndrome it’s
syndrome it’s a
it’s a double
a double whammy
double whammy when
whammy when it
when it comes
it comes to
comes to speech
to speech as
speech as both
as both disabilities
both disabilities have
disabilities have speech
have speech problems
speech problems and
problems and this
and this device
this device with
device with the
with the app
the app helps
app helps my
helps my son
my son a
son a lot
a lot i’m
lot i’m able
i’m able to
able to add
to add things
add things like
things like taking
like taking a
taking a picture
a picture of
picture of his
of his mom
his mom dad
mom dad brothers
dad brothers and
brothers and sister
and sister with
sister with there
with there names
there names you
names you can
you can take
can take your
take your own
your own pictures
own pictures and
pictures and add
and add them
add them and
them and pick
and pick a
pick a voice
a voice to
voice to go
to go with
go with it
with it i
it i even
i even added
even added our
added our phone
our phone number
phone number to
number to our
to our pictures
our pictures and
pictures and added
and added our
added our address
our address you
address you can
you can also
can also delete
also delete items
delete items on
items on there
on there you
there you know
you know they
know they will
they will or
will or may
or may not
may not use
not use which
use which i
which i have
i have done
have done i’ve
done i’ve also
i’ve also added
also added certain
added certain favorite
certain favorite snacks
favorite snacks my
snacks my son
my son likes
son likes foods
likes foods people
foods people and
people and so
and so on
so on its
on its very
its very easy
very easy to
easy to use
to use once
use once you
once you get
you get the
get the hang
the hang of
hang of we’re
of we’re what
we’re what goes
what goes and
goes and what
and what each
what each item
each item is
item is under
is under you
under you can
you can even
can even pick
even pick the
pick the amount
the amount of
amount of pictures
of pictures you
pictures you want
you want on
want on ease
on ease grid
ease grid and
grid and the
and the size
the size as
size as well
as well i
well i am
i am so
am so glad
so glad my
glad my sons
my sons speech
sons speech therapist
speech therapist she
therapist she took
she took care
took care of
care of all
of all the
all the paper
the paper work
paper work for
work for my
for my sons
my sons insurance
sons insurance to
insurance to cover
to cover his
cover his device
his device the
device the device
the device also
device also comes
also comes with
comes with a
with a strong
a strong rugged
strong rugged case
rugged case with
case with a
with a stand
a stand which
stand which opens
which opens and
opens and closes
and closes and
closes and alphas
and alphas a
alphas a strong
a strong handle
strong handle and
handle and 2
and 2 different
2 different length
different length straps
length straps so
straps so you
so you can
you can wear
can wear the
wear the device
the device with
device with the
with the app
the app across
app across your
across your body
your body so
body so you
so you don’t
you don’t loose
don’t loose it
loose it i
it i highly
i highly recommend
highly recommend this
recommend this device
this device with
device with the
with the proloquo2go
the proloquo2go app
proloquo2go app for
app for all
for all kids
all kids and
kids and adults
and adults with
adults with speech
with speech problems
speech problems it
problems it has
it has helped
has helped my
helped my son
my son a
son a lot
a lot he
lot he doesn’t
he doesn’t get
doesn’t get frustrated
get frustrated no
frustrated no more
no more when
more when you
when you cannot
you cannot understand
cannot understand what
understand what he
what he says
he says or
says or to
or to others
autistic adult i
adult i am
i am an
am an autistic
an autistic woman
autistic woman who
woman who was
who was originally
was originally nonverbal
originally nonverbal and
nonverbal and forced
and forced to
forced to speak
to speak in
speak in different
in different therapies
different therapies they
therapies they would
they would drill
would drill me
drill me to
me to repeat
to repeat different
repeat different phrases
different phrases but
phrases but i
but i felt
i felt like
felt like i
like i was
i was saying
was saying nothing
saying nothing because
nothing because i
because i was
i was just
was just repeating
just repeating what
repeating what other
what other people
other people wanted
people wanted me
wanted me to
me to say
to say i
say i use
i use all
use all of
all of the
of the different
the different assistiveware
different assistiveware apps
assistiveware apps in
apps in different
in different communication
different communication situations
communication situations they
situations they listened
they listened to
listened to autistic
to autistic people
autistic people and
people and converted
and converted our
converted our natural
our natural dialect
natural dialect and
dialect and communications
and communications into
communications into apps
into apps that
apps that really
that really work
really work for
work for us
for us for
us for the
for the first
the first time
first time since
time since i
since i was
i was seven
was seven years
seven years old
years old i
old i finally
i finally found
finally found my
found my authentic
my authentic autistic
authentic autistic voice
autistic voice i
voice i am
i am myself
am myself again
myself again thank
again thank you
thank you autistic
you autistic community
autistic community and
community and thank
and thank you
thank you assistiveware
great app happy
app happy that
happy that such
that such an
such an app
an app exists
app exists our
exists our toddler
our toddler who
toddler who we
who we suspected
we suspected to
suspected to be
to be on
be on the
on the spectrum
the spectrum before
spectrum before his
before his second
his second birthday
second birthday has
birthday has been
has been using
been using this
using this app
this app for
app for about
for about the
about the past
the past 6
past 6 months
6 months he
months he turned
he turned three
turned three not
three not long
not long ago
long ago and
ago and has
and has been
has been learning
been learning how
learning how to
how to communicate
to communicate using
communicate using the
using the app
the app with
app with the
with the help
the help of
help of his
of his therapists
his therapists i
therapists i really
i really like
really like that
like that it
that it can
it can be
can be customized
be customized for
customized for early
for early learners
early learners such
learners such as
such as my
as my toddler
my toddler the
toddler the only
the only reason
only reason i
reason i give
i give it
give it four
it four stars
four stars is
stars is because
is because he
because he uses
he uses this
uses this app
this app on
app on the
on the ipad
the ipad but
ipad but for
but for some
for some reason
some reason he
reason he has
he has trouble
has trouble swiping
trouble swiping up
swiping up down
up down for
down for some
for some reason
some reason even
reason even after
even after we
after we try
we try to
try to show
to show him
show him over
him over and
over and over
and over again
over again we
again we were
we were told
were told it’s
told it’s probably
it’s probably a
probably a fine
a fine motor
fine motor issue
motor issue for
issue for now
for now we
now we all
we all swipe
all swipe the
swipe the page
the page for
page for him
for him to
him to access
to access the
access the rest
the rest of
rest of his
of his icons
his icons i
icons i would
i would love
would love it
love it if
it if the
if the ability
the ability to
ability to swipe
to swipe left
swipe left to
left to right
to right were
right were included
were included since
included since he
since he is
he is able
is able to
able to do
to do that
do that with
that with no
with no problem
crucial app my
app my granddaughter
my granddaughter is
granddaughter is essentially
is essentially non
essentially non verbal
non verbal for
verbal for years
for years 11
years 11 to
11 to be
to be exact
be exact we
exact we have
we have tried
have tried to
tried to give
to give her
give her a
her a voice
a voice we
voice we thought
we thought because
thought because she
because she can
she can repeat
can repeat that
repeat that she
that she would
she would eventually
would eventually began
eventually began to
began to talk
to talk to
talk to our
to our dismay
our dismay it
dismay it did
it did not
did not happen
not happen finally
happen finally with
finally with the
with the advice
the advice from
advice from a
from a girlfriend
a girlfriend i
girlfriend i decided
i decided she
decided she needed
she needed a
needed a communication
a communication device
communication device i
device i purchased
i purchased a
purchased a ipad
a ipad mini
ipad mini and
mini and loaded
and loaded proloquo2go
loaded proloquo2go on
proloquo2go on it
on it she
it she is
she is picking
is picking it
picking it up
it up fairly
up fairly well
fairly well to
well to my
to my delight
my delight this
delight this program
this program on
program on the
on the recommended
the recommended intermediate
recommended intermediate is
intermediate is so
is so expansive
so expansive i
expansive i love
i love how
love how you
how you can
you can customize
can customize it
customize it i
it i wish
i wish i
wish i had
i had done
had done this
done this years
this years ago
years ago because
ago because we
because we would
we would be
would be on
be on a
on a better
a better speech
better speech ground
speech ground by
ground by now
by now please
now please to
please to all
to all who
all who have
who have similar
have similar circumstances
similar circumstances do
circumstances do not
do not delay
not delay whether
delay whether the
whether the child
the child has
child has speech
has speech or
speech or not
or not make
not make the
make the worthwhile
the worthwhile purchase
worthwhile purchase of
purchase of a
of a speech
a speech program
speech program this
program this program
this program is
program is certainly
is certainly affordable
certainly affordable and
affordable and can
and can be
can be utilized
be utilized into
utilized into adulthood
very simple to
simple to manage
to manage this
manage this app
this app is
app is extremely
is extremely versatile
extremely versatile you
versatile you can
you can use
can use a
use a library
a library of
library of pictures
of pictures take
pictures take pictures
take pictures from
pictures from within
from within the
within the app
the app and
app and even
and even choose
even choose photos
choose photos from
photos from your
from your device’s
your device’s album
device’s album there
album there are
there are multiple
are multiple voices
multiple voices avail
voices avail which
avail which you
which you can
you can customize
can customize the
customize the characteristics
the characteristics of
characteristics of each
of each you
each you can
you can make
can make it
make it as
it as simple
as simple or
simple or complex
or complex as
complex as you
as you want
you want we
want we started
we started with
started with just
with just a
just a few
a few icons
few icons for
icons for our
for our cognitively
our cognitively disabled
cognitively disabled son
disabled son and
son and gradually
and gradually increased
gradually increased the
increased the grid
the grid to
grid to currently
to currently like
currently like 6x8
like 6x8 grid
6x8 grid of
grid of icons
of icons he
icons he knows
he knows it’s
knows it’s layout
it’s layout better
layout better than
better than we
than we do
we do this
do this is
this is an
is an awesome
an awesome app
awesome app with
app with awesome
with awesome support
awesome support both
support both through
both through developer
through developer and
developer and a
and a facebook
a facebook users
facebook users support
users support page
support page i
page i highly
i highly recommend
highly recommend this
recommend this app
this app if
app if you
if you feel
you feel your
feel your ipad
your ipad is
ipad is not
is not loud
not loud enough
loud enough with
enough with a
with a protective
a protective case
protective case there
case there are
there are amplified
are amplified ipad
amplified ipad cases
ipad cases you
cases you can
you can buy
can buy elsewhere
best communication app
communication app available
app available i
available i use
i use the
use the app
the app i
app i totally
i totally recommend
totally recommend it
recommend it the
it the app
the app is
app is the
is the best
the best one
best one out
one out there
out there for
there for communication
for communication and
communication and has
and has so
has so many
so many voices
many voices you
voices you can
you can add
can add your
add your own
your own images
own images other
images other ones
other ones i’ve
ones i’ve seen
i’ve seen the
seen the voices
the voices are
voices are seoprate
are seoprate the
seoprate the app
the app is
app is easy
is easy to
easy to navigate
to navigate and
navigate and figure
and figure out
figure out you
out you can
you can add
can add words
add words change
words change pronounces
change pronounces which
pronounces which i
which i love
i love you
love you can
you can add
can add folders
add folders which
folders which is
which is helped
is helped me
helped me figure
me figure out
figure out were
out were all
were all of
all of the
of the things
the things are
things are though
are though i
though i use
i use this
use this to
this to communicate
to communicate becuase
communicate becuase i
becuase i cant
i cant speak
cant speak its
speak its the
its the perfect
the perfect app
perfect app though
app though not
though not that
not that expensive
that expensive compared
expensive compared to
compared to the
to the other
the other ones
other ones i’ve
ones i’ve see
i’ve see the
see the only
the only thing
only thing i
thing i wish
i wish that
wish that i
that i could
i could turn
could turn off
turn off is
off is the
is the news
the news for
news for the
for the app
the app since
app since it
since it drives
it drives me
drives me crazy
me crazy to
crazy to get
to get notifications
get notifications about
notifications about new
about new update
new update please
update please make
please make a
make a setting
a setting to
setting to turn
to turn that
turn that off
that off other
off other than
other than that
than that it’s
that it’s good
it’s good app
so versatile in
versatile in helping
in helping my
helping my loved
my loved one
loved one communicate
one communicate my
communicate my niece
my niece has
niece has had
has had proloquo2go
had proloquo2go since
proloquo2go since she
since she was
she was 5
was 5 heading
5 heading in
heading in to
in to kindergarten
to kindergarten she
kindergarten she is
she is now
is now 14
now 14 ready
14 ready to
ready to start
to start high
start high school
high school at
school at 5
at 5 years
5 years old
years old this
old this app
this app helped
app helped her
helped her communicate
her communicate her
communicate her wants
her wants and
wants and spared
and spared all
spared all of
all of us
of us the
us the frustration
the frustration of
frustration of playing
of playing 20
playing 20 questions
20 questions in
questions in order
in order to
order to figure
to figure out
figure out what
out what she
what she needed
she needed or
needed or wanted
or wanted it
wanted it has
it has only
has only grown
only grown since
grown since then
since then it
then it has
it has helped
has helped her
helped her speech
her speech she
speech she often
she often tries
often tries to
tries to repeat
to repeat what
repeat what she
what she has
she has made
has made it
made it say
it say for
say for her
for her lately
her lately she
lately she types
she types into
types into the
into the app
the app and
app and listens
and listens to
listens to it
to it speak
it speak what
speak what she
what she has
she has typed
has typed she
typed she loves
she loves telling
loves telling me
telling me what
me what to
what to add
to add to
add to it
to it and
it and what
and what pictures
what pictures she
pictures she wants
she wants used
wants used for
used for each
for each button
each button proloquo2go
button proloquo2go is
proloquo2go is one
is one of
one of her
of her best
her best tools
best tools that
tools that assist
that assist her
assist her speech
her speech and
speech and communication
and communication thank
communication thank you
a positive behavior
positive behavior modifier
behavior modifier and
modifier and freedom
and freedom giver
freedom giver as
giver as a
as a multi
a multi disabled
multi disabled woman
disabled woman who
woman who is
who is nonverbal
is nonverbal deaf
nonverbal deaf partially
deaf partially blind
partially blind mild
blind mild autistic
mild autistic and
autistic and slightly
and slightly physically
slightly physically disabled
physically disabled i
disabled i found
i found this
found this app
this app proloquo2go
app proloquo2go a
proloquo2go a helpful
a helpful in
helpful in modifying
in modifying my
modifying my behavior
my behavior to
behavior to match
to match my
match my age
my age in
age in a
in a positive
a positive way
positive way and
way and liberates
and liberates me
liberates me from
me from using
from using communication
using communication partner
communication partner the
partner the interpreter
the interpreter by
interpreter by giving
by giving me
giving me the
me the degree
the degree of
degree of freedom
of freedom to
freedom to communicate
to communicate with
communicate with the
with the hearing
the hearing people
hearing people while
people while i
while i am
i am on
am on trip
on trip for
trip for various
for various activities
various activities such
activities such as
such as shopping
as shopping this
shopping this app
this app was
app was very
was very helpful
very helpful in
helpful in preparing
in preparing me
preparing me for
me for open
for open our
open our world
our world to
world to prove
to prove that
prove that i
that i can
i can freely
can freely communicate
freely communicate with
communicate with whoever
with whoever as
whoever as i
as i am
i am on
am on go
on go i
go i believe
i believe this
believe this app
this app has
app has given
has given me
given me the
me the increased
the increased degree
increased degree of
degree of independence
of independence of
independence of communication
of communication and
communication and social
and social time
social time it
time it has
it has given
has given me
given me many
me many positive
many positive avenues
positive avenues for
avenues for shaping
for shaping my
