word,n
device with the,3
highly recommend this,3
i highly recommend,3
to talk to,3
you can add,3
a positive behavior,2
all of the,2
been using this,2
for some reason,2
has given me,2
i am on,2
is the best,2
it has helped,2
it to talk,2
more and more,2
my son a,2
other ones i’ve,2
recommend this app,2
son a lot,2
talk to my,2
the app and,2
the app is,2
the proloquo2go app,2
this app for,2
this device with,2
use it to,2
using this app,2
what she has,2
with the app,2
you can customize,2
11 to be,1
14 ready to,1
2 different length,1
20 and non,1
20 questions in,1
5 heading in,1
5 years old,1
6 months he,1
6x8 grid of,1
7 years and,1
"7,000 the ipad",1
a better speech,1
a communication device,1
a dark mode,1
a different device,1
a dimmer background,1
a double whammy,1
a facebook users,1
a few icons,1
a fine motor,1
a girlfriend i,1
a helpful in,1
a ipad mini,1
a library of,1
a life changer,1
a lot he,1
a lot i’m,1
a multi disabled,1
a must have,1
a picture of,1
a positive way,1
a protective case,1
a setting to,1
a speech program,1
a stand which,1
a strong handle,1
a strong rugged,1
a verbal autistic,1
a voice for,1
a voice to,1
a voice we,1
a while highly,1
ability to swipe,1
able to add,1
able to do,1
about new update,1
about the past,1
access the rest,1
across your body,1
activities such as,1
activity choices i,1
add folders which,1
add them and,1
add things like,1
add to it,1
add words change,1
add your own,1
added certain favorite,1
added our address,1
added our phone,1
address you can,1
adult i am,1
adults with speech,1
advice from a,1
affordable and can,1
after a while,1
after we try,1
again thank you,1
again we were,1
age in a,1
ago and has,1
ago because we,1
album there are,1
all kids and,1
all of us,1
all swipe the,1
all the paper,1
all who have,1
alphas a strong,1
also added certain,1
also comes with,1
also delete items,1
also use it,1
also uses it,1
am a verbal,1
am an autistic,1
am myself again,1
am on go,1
am on trip,1
am so glad,1
amount of pictures,1
amplified ipad cases,1
an app exists,1
an autistic woman,1
an awesome app,1
and 2 different,1
and a facebook,1
and add them,1
and added our,1
and adults with,1
and alphas a,1
and beverage choices,1
and can be,1
and closes and,1
and communication thank,1
and communications into,1
and converted our,1
"and cost 7,000",1
and even choose,1
and exacerbates my,1
and figure out,1
and forced to,1
and freedom giver,1
and gradually increased,1
and has been,1
and has so,1
and has what,1
and i'm slowly,1
and liberates me,1
and listens to,1
and loaded proloquo2go,1
and love it,1
and more frequently,1
and more situations,1
and non verbal,1
and over again,1
and pick a,1
and positive social,1
and protective case,1
and reading replies,1
and schizophrenia spectrum,1
and sister with,1
and slightly physically,1
and so on,1
and social time,1
and spared all,1
and thank you,1
and the size,1
and this device,1
and use i,1
and what each,1
and what pictures,1
app across your,1
app and even,1
app and listens,1
app and protective,1
app available i,1
app exists our,1
app for 7,1
app for about,1
app for all,1
app happy that,1
app has given,1
app helped her,1
app helps my,1
app i totally,1
app if you,1
app is easy,1
app is extremely,1
app is the,1
app my granddaughter,1
app on my,1
app on the,1
app our previous,1
app proloquo2go a,1
app since it,1
app though not,1
app was very,1
app with awesome,1
app with the,1
app you can,1
appears to be,1
appreciate how easy,1
apps in different,1
apps that really,1
are amplified ipad,1
are multiple voices,1
are seoprate the,1
are though i,1
as a multi,1
as both disabilities,1
as i am,1
as my toddler,1
as shopping this,1
as simple or,1
as well i,1
as you want,1
assist her speech,1
assistiveware apps in,1
at 5 years,1
at the time,1
authentic autistic voice,1
autistic adult i,1
autistic and schizophrenia,1
autistic and slightly,1
autistic community and,1
autistic people and,1
autistic voice i,1
autistic woman who,1
avail which you,1
available i use,1
avenues for shaping,1
awesome app with,1
awesome support both,1
background since the,1
be customized for,1
be exact we,1
be on a,1
be on the,1
be progressive cognitive,1
be utilized into,1
because he uses,1
because i was,1
because she can,1
because we would,1
becuase i cant,1
been a life,1
been learning how,1
before his second,1
before making the,1
began to talk,1
behavior modification and,1
behavior modifier and,1
behavior to match,1
believe this app,1
best app you,1
best communication app,1
best one out,1
best tools that,1
better speech ground,1
better than we,1
beverage choices which,1
birthday has been,1
blind mild autistic,1
body so you,1
both disabilities have,1
both through developer,1
brothers and sister,1
but for some,1
but i felt,1
button proloquo2go is,1
by constructing my,1
by giving me,1
by now please,1
can add folders,1
can add words,1
can add your,1
can also delete,1
can be customized,1
can be utilized,1
can buy elsewhere,1
can customize it,1
can customize the,1
can even pick,1
can freely communicate,1
can get with,1
can make it,1
can repeat that,1
can take your,1
can use a,1
can wear the,1
cannot understand what,1
cant speak its,1
care of all,1
case there are,1
case was well,1
case with a,1
cases you can,1
certain favorite snacks,1
certainly affordable and,1
change pronounces which,1
changer i frequently,1
changing i am,1
characteristics of each,1
child has speech,1
choices he also,1
choices i highly,1
choices which was,1
choose photos from,1
circumstances do not,1
closes and alphas,1
cognitive disability proloquo2go,1
cognitively disabled son,1
college student who,1
comes to speech,1
comes with a,1
communicate becuase i,1
communicate her wants,1
communicate my niece,1
communicate using the,1
communicate with the,1
communicate with whoever,1
communication and has,1
communication and social,1
communication app available,1
communication device i,1
communication partner the,1
communication situations they,1
communication thank you,1
communications into apps,1
community and thank,1
compared to the,1
complex as you,1
constructing my messages,1
converted our natural,1
"cost 7,000 the",1
could make food,1
could turn off,1
courage to use,1
cover his device,1
crazy to get,1
criticism is i,1
crucial app my,1
currently like 6x8,1
customize it i,1
customize the characteristics,1
customized for early,1
dad brothers and,1
dark mode or,1
deaf partially blind,1
decided she needed,1
degree of freedom,1
degree of independence,1
delay whether the,1
delete items on,1
delight this program,1
developer and a,1
device also comes,1
device i also,1
device i purchased,1
device is the,1
device the device,1
device the proloquo2go,1
device was heavy,1
device’s album there,1
dialect and communications,1
did not happen,1
different assistiveware apps,1
different communication situations,1
different device i,1
different length straps,1
different phrases but,1
different therapies they,1
dimmer background since,1
disabilities have speech,1
disability proloquo2go has,1
disabled i found,1
disabled son and,1
disabled woman who,1
discord by constructing,1
dismay it did,1
do not delay,1
do that with,1
do this is,1
doesn’t get frustrated,1
done i’ve also,1
done this years,1
don’t loose it,1
double whammy when,1
down for some,1
down syndrome kleinfelter,1
drill me to,1
drives me crazy,1
each button proloquo2go,1
each item is,1
each you can,1
early learners such,1
ease grid and,1
easy it is,1
easy to navigate,1
easy to use,1
enough with a,1
essentially non verbal,1
even added our,1
even after we,1
even choose photos,1
even have it,1
even pick the,1
eventually began to,1
exacerbates my tics,1
exact we have,1
exists our toddler,1
expansive i love,1
expensive compared to,1
extremely versatile you,1
eyes and exacerbates,1
facebook users support,1
fairly well to,1
fast food choices,1
favorite snacks my,1
feel your ipad,1
felt like i,1
few icons for,1
figure out were,1
figure out what,1
figure out you,1
figured out he,1
finally found my,1
finally with the,1
fine motor issue,1
first time since,1
folders which is,1
food and beverage,1
food choices he,1
foods people and,1
for 7 years,1
for about the,1
for all kids,1
for communication and,1
for each button,1
for early learners,1
for fast food,1
for her lately,1
for him to,1
for him we,1
for home use,1
for k we,1
for my sons,1
for now we,1
for open our,1
for our cognitively,1
for several months,1
for shaping my,1
for the app,1
for the first,1
for us for,1
for various activities,1
for years 11,1
forced to speak,1
found my authentic,1
found this app,1
four stars is,1
freedom giver as,1
freedom to communicate,1
freely communicate with,1
frequently losing speech,1
frequently use it,1
friends over discord,1
from a girlfriend,1
from using communication,1
from within the,1
from your device’s,1
frustrated no more,1
frustration of playing,1
future life through,1
get frustrated no,1
get notifications about,1
get the hang,1
get with my,1
getting the courage,1
girlfriend i decided,1
give her a,1
give it four,1
given me many,1
given me the,1
giver as a,1
giving me the,1
glad my sons,1
go i believe,1
go with it,1
goes and what,1
gradually increased the,1
granddaughter is essentially,1
great app happy,1
grid and the,1
grid of icons,1
grid to currently,1
ground by now,1
grown since then,1
had a dark,1
had done this,1
had proloquo2go since,1
handle and 2,1
hang of we’re,1
happen finally with,1
happy that such,1
has been a,1
has been learning,1
has been using,1
has had proloquo2go,1
has helped her,1
has helped my,1
has made it,1
has only grown,1
has so many,1
has speech or,1
has trouble swiping,1
has typed she,1
has what appears,1
have been using,1
have done i’ve,1
have it programmed,1
have similar circumstances,1
have speech device,1
have speech problems,1
have tried to,1
having down syndrome,1
he also uses,1
he could make,1
he doesn’t get,1
he has trouble,1
he is able,1
he knows it’s,1
he quickly figured,1
he says or,1
he turned three,1
he uses this,1
heading in to,1
hearing people while,1
heavy slow to,1
help of his,1
helped her communicate,1
helped her speech,1
helped me figure,1
helped my son,1
helpful in modifying,1
helpful in preparing,1
helping my loved,1
helps my son,1
her a voice,1
her best tools,1
her communicate her,1
her lately she,1
her speech and,1
her speech she,1
her wants and,1
high school at,1
highest recommended at,1
highly recommend worth,1
him over and,1
him to access,1
him we even,1
his device the,1
his icons i,1
his mom dad,1
his second birthday,1
his therapists i,1
home use this,1
how easy it,1
how to communicate,1
how you can,1
hurts my eyes,1
i also use,1
i am a,1
i am an,1
i am myself,1
i am so,1
i believe this,1
i can freely,1
i cant speak,1
i could turn,1
i decided she,1
i even added,1
i felt like,1
i finally found,1
i found this,1
i frequently use,1
i give it,1
i had done,1
i have done,1
i love how,1
i love you,1
i purchased a,1
i really like,1
i researched for,1
i totally recommend,1
i use all,1
i use the,1
i use this,1
i was just,1
i was saying,1
i was seven,1
i wish i,1
i wish it,1
i wish that,1
i would love,1
i'm slowly getting,1
icons for our,1
icons he knows,1
icons i would,1
if the ability,1
if you feel,1
images other ones,1
in a positive,1
in different communication,1
in different therapies,1
in helping my,1
in modifying my,1
in more and,1
in order to,1
in preparing me,1
in to kindergarten,1
included since he,1
increased degree of,1
increased the grid,1
independence of communication,1
insurance to cover,1
intermediate is so,1
interpreter by giving,1
into apps that,1
into the app,1
ipad app and,1
ipad but for,1
ipad cases you,1
ipad is not,1
ipad mini and,1
is 20 and,1
is able to,1
is an awesome,1
is because he,1
is certainly affordable,1
is easy to,1
is essentially non,1
is extremely versatile,1
is helped me,1
is i wish,1
is more and,1
is nonverbal deaf,1
is not loud,1
is now 14,1
is one of,1
is picking it,1
is so expansive,1
is the news,1
is to program,1
is under you,1
issue for now,1
it and reading,1
it and what,1
it as simple,1
it can be,1
it comes to,1
