Frequency,Word
11,quick
10,talk
7,aac
5,use
4,speech
4,profiles
3,communicate
3,flexible
3,affordable
3,individuals
3,developed
3,communication
3,simple
3,change
3,voice
3,app
3,easy
3,personal
3,pages
2,new
2,designed
2,solution
2,design
2,educators
2,non-verbal
2,anyone
2,giving
2,speak
2,possible
2,mobile
2,need
2,spend
2,time
2,huge
2,technology
2,ability
2,devices
2,access
2,ipad
2,features
2,believe
2,lives
2,words
2,phrases
2,audio
2,text-to
2,symbols
2,personalize
2,categories
2,create
2,options
2,icons
2,digital
2,scribbler
2,garage
1,whole
1,accessible
1,available
1,excited
1,completely
1,working
1,therapists
1,engineers
1,parents
1,mission
1,world
1,goal
1,made
1,one
1,small
1,fee
1,everything
1,setting
1,talking
1,effectively
1,used
1,autism
1,syndrome
1,cerebral
1,palsy
1,apraxia
1,special
1,needs
1,home
1,school
1,environment
1,assistive
1,equip
1,typical
1,augmentative
1,alternative
1,apps
1,either
1,expensive
1,complicated
1,set
1,providing
1,everyone
1,iphone
1,ipod
1,touch
1,advice
1,guidance
1,experts
1,therapy
1,pack
1,full
1,keeping
1,simplicity
1,cost
1,mind
1,outcome
1,one-of
1,a-kind
1,going
1,difference
1,peoples
1,committed
1,continual
1,improvement
1,please
1,email
1,suggestions
1,improve
1,feedback
1,seriously
1,key
1,navigate
1,great
1,look
1,fun
1,high
1,quality
1,voices
1,languages
1,choose
1,male
1,female
1,typing
1,mode
1,learns
1,favorite
1,type
1,sentence
1,strip
1,combine
1,using
1,backup
1,feature
1,allows
1,save
1,share
1,transfer
1,easily
1,allow
1,multiple
1,users
1,setups
1,includes
1,smarty
1,library
1,licensed
1,speech-language
1,pathologist
1,yes
1,every
1,screen
1,buttons
1,expand
1,unlimited
1,pictures
1,navigation
1,inc
1,founded
1,russ
1,ewell
1,company
1,whose
1,built
1,origin
1,story
1,typifies
1,silicon
1,valley
1,mentality
1,place
1,mindset
1,says
1,dream
1,build
1,dreamed
1,creating
1,capable
1,verbally
1,challenged
1,needed
1,result
1,helping
1,silence
1,ever
