Frequency,Word
13,new
11,app
11,students
9,quick
8,talk
7,option
7,use
6,page
6,category
6,button
6,communication
6,able
5,please
4,needs
4,delete
4,add
4,device
4,information
3,simple
3,apps
3,name
3,caption
3,text-to
3,speech
3,fields
3,adding
3,info
3,crashes
3,time
3,communicate
2,child
2,skills
2,user
2,create
2,sentences
2,back
2,edit
2,change
2,save
2,every
2,created
2,categories
2,already
2,give
2,great
2,important
2,difficulties
2,basic
2,wants
2,independently
2,conversations
2,peers
2,facilitates
2,easier
2,access
2,navigate
2,accessing
2,student
2,using
2,minutes
2,program
2,several
2,friends
2,last
2,days
1,need
1,improvement
1,exactly
1,autistic
1,stronger
1,reading
1,expressive
1,promised
1,gives
1,complete
1,read
1,aloud
1,limitations
1,glitches
1,pls
1,remove
1,label
1,fade
1,allow
1,write
1,eg
1,netflix
1,search
1,field
1,pain
1,backspace
1,select
1,everything
1,creating
1,include
1,cancel
1,pages
1,mind
1,saving
1,changes
1,hit
1,kicks
1,completely
1,plus
1,added
1,try
1,hard
1,handling
1,extras
1,choose
1,copy
1,paste
1,one
1,icloud
1,lose
1,want
1,example
1,child's
1,ipod
1,iphone
1,carry
1,bulky
1,ipad
1,trips
1,forced
1,recreate
1,content
1,order
1,thank
1,consideration
1,willing
1,pay
1,extra
1,requested
1,updates
1,ability
1,essential
1,life
1,skill
1,engaging
1,experience
1,low
1,muscle
1,tone
1,trouble
1,coordinating
1,muscles
1,find
1,two-option
1,layout
1,begin
1,personalizing
1,settings
1,practice
1,desired
1,help
1,work
1,towards
1,natural
1,flow
1,conversation
1,staff
1,stay
1,long
1,enough
1,hear
1,say
1,faster
1,allowing
1,engage
1,longer
1,arrows
1,screen
1,helpful
1,visual
1,tool
1,throughout
1,must-have
1,slp's
1,love
1,speech-language
1,pathologist
1,seen
1,aac
1,first
1,within
1,took
1,learn
1,caseload
1,varying
1,degrees
1,challenges
1,yes
1,questions
1,choices
1,inclusion
1,circle
1,times
1,classroom
1,participation
1,switch
1,devices
1,just
1,teachers
1,easily
1,training
1,sessions
1,implement
1,bridge
1,gap
1,communicating
1,complex
1,phrases
1,quickest
1,providing
1,someone
1,functional
1,high
1,hopes
1,year
1,old
1,college
1,worked
1,children
1,young
1,adults
1,verbally
1,challenged
1,special
1,years
1,impressed
1,extreme
1,amount
1,customizability
1,really
1,becoming
1,main
1,palm
1,hand
1,hopeful
1,huge
1,relief
1,quicker
1,smiling
1,customize
1,box
