word
a whole
whole new
new way
way to
to communicate
communicate quick
quick talk
talk is
is designed
designed to
to be
be the
the most
most flexible
flexible accessible
accessible and
and affordable
affordable aac
aac solution
solution available
available we
we are
are excited
excited about
about the
the completely
completely new
new design
design of
of quick
quick talk
talk aac
aac working
working with
with educators
educators therapists
therapists engineers
engineers parents
parents and
and individuals
individuals who
who are
are non
non verbal
verbal we
we have
have developed
developed a
a communication
communication that
that anyone
anyone can
can use
use quick
quick talk
talk was
was designed
designed with
with a
a simple
simple mission
mission to
to change
change the
the world
world by
by giving
giving a
a voice
voice to
to those
those who
who cannot
cannot speak
speak for
for themselves
themselves our
our goal
goal is
is to
to make
make it
it as
as quick
quick as
as possible
possible for
for you
you to
to talk
talk we
we made
made this
this app
app as
as mobile
mobile simple
simple and
and flexible
flexible as
as possible
possible so
so for
for one
one small
small fee
fee you
you can
can have
have everything
everything you
you need
need to
to communicate
communicate don
don t
t spend
spend your
your time
time setting
setting up
up spend
spend your
your time
time talking
talking quick
quick talk
talk aac
aac has
has been
been effectively
effectively used
used by
by individuals
individuals with
with autism
autism down
down syndrome
syndrome cerebral
cerebral palsy
palsy apraxia
apraxia and
and other
other special
special needs
needs both
both at
at home
home and
and in
in a
a school
school environment
environment there
there is
is a
a huge
huge need
need for
for an
an assistive
assistive technology
technology that
that can
can equip
equip those
those who
who are
are non
non verbal
verbal with
with the
the ability
ability to
to communicate
communicate typical
typical augmentative
augmentative and
and alternative
alternative communication
communication aac
aac devices
devices and
and apps
apps are
are either
either too
too expensive
expensive or
or too
too complicated
complicated we
we have
have set
set out
out to
to change
change this
this by
by providing
providing an
an affordable
affordable solution
solution to
to everyone
everyone with
with access
access to
to ipad
ipad iphone
iphone or
or ipod
ipod touch
touch we
we developed
developed quick
quick talk
talk with
with the
the advice
advice and
and guidance
guidance from
from experts
experts in
in speech
speech therapy
therapy educators
educators and
and individuals
individuals who
who use
use aac
aac devices
devices to
to pack
pack it
it full
full of
of features
features while
while keeping
keeping simplicity
simplicity and
and cost
cost in
in mind
mind the
the outcome
outcome is
is a
a one
one of
of a
a kind
kind app
app that
that we
we believe
believe will
will change
change many
many lives
lives we
we believe
believe quick
quick talk
talk is
is going
going to
to make
make a
a huge
huge difference
difference in
in peoples
peoples lives
lives and
and are
are committed
committed to
to its
its continual
continual improvement
improvement please
please email
email us
us any
any suggestions
suggestions you
you may
may have
have about
about how
how we
we can
can further
further improve
improve quick
quick talk
talk as
as we
we take
take your
your feedback
feedback seriously
seriously key
key quick
quick talk
talk aac
aac features
features easy
easy to
to use
use design
design easy
easy to
to navigate
navigate great
great to
to look
look at
at and
and fun
fun to
to use
use 50
50 high
high quality
quality voices
voices from
from 24
24 languages
languages to
to choose
choose from
from male
male and
and female
female typing
typing mode
mode learns
learns your
your favorite
favorite words
words and
and phrases
phrases as
as you
you type
type sentence
sentence strip
strip to
to combine
combine your
your words
words and
and phrases
phrases using
using both
both your
your personal
personal audio
audio and
and text
text to
to speech
speech voice
voice ipad
ipad backup
backup feature
feature that
that allows
allows you
you to
to save
save share
share or
or transfer
transfer your
your profiles
profiles easily
easily profiles
profiles allow
allow for
for multiple
multiple users
users and
and or
or setups
setups includes
includes smarty
smarty symbols
symbols library
library of
of 11
11 000
000 symbols
symbols developed
developed by
by a
a licensed
licensed speech
speech language
language pathologist
pathologist quick
quick access
access to
to yes
yes no
no from
from every
every screen
screen ability
ability to
to personalize
personalize all
all profiles
profiles categories
categories and
and pages
pages with
with personal
personal create
create pages
pages with
with 2
2 8
8 speech
speech buttons
buttons each
each to
to expand
expand your
your options
options create
create unlimited
unlimited profiles
profiles categories
categories and
and pages
pages and
and personalize
personalize them
them with
with pictures
pictures text
text to
to speech
speech or
or personal
personal audio
audio easy
easy navigation
navigation options
options for
for anyone
anyone to
to use
use icons
icons from
from icons8
icons8 about
about digital
digital scribbler
scribbler inc
inc founded
founded by
by russ
russ ewell
ewell digital
digital scribbler
scribbler is
is a
a technology
technology company
company whose
whose built
built in
in the
the garage
garage origin
origin story
story typifies
typifies silicon
silicon valley
valley this
this garage
garage is
is now
now more
more mentality
mentality than
than place
place it
it is
is a
a mindset
mindset which
which says
says if
if we
we can
can dream
dream it
it we
we can
can build
build it
it we
we dreamed
dreamed of
of creating
creating an
an affordable
affordable communication
communication app
app which
which was
was capable
capable of
of giving
giving the
the verbally
verbally challenged
challenged a
a voice
voice it
it needed
needed to
to be
be mobile
mobile simple
simple and
and flexible
flexible quick
quick talk
talk aac
aac was
was the
the result
result and
and it
it has
has been
been helping
helping those
those in
in silence
silence speak
speak ever
ever since
