word
a whole new
whole new way
new way to
way to communicate
to communicate quick
communicate quick talk
quick talk is
talk is designed
is designed to
designed to be
to be the
be the most
the most flexible
most flexible accessible
flexible accessible and
accessible and affordable
and affordable aac
affordable aac solution
aac solution available
solution available we
available we are
we are excited
are excited about
excited about the
about the completely
the completely new
completely new design
new design of
design of quick
of quick talk
quick talk aac
talk aac working
aac working with
working with educators
with educators therapists
educators therapists engineers
therapists engineers parents
engineers parents and
parents and individuals
and individuals who
individuals who are
who are non
are non verbal
non verbal we
verbal we have
we have developed
have developed a
developed a communication
a communication that
communication that anyone
that anyone can
anyone can use
can use quick
use quick talk
quick talk was
talk was designed
was designed with
designed with a
with a simple
a simple mission
simple mission to
mission to change
to change the
change the world
the world by
world by giving
by giving a
giving a voice
a voice to
voice to those
to those who
those who cannot
who cannot speak
cannot speak for
speak for themselves
for themselves our
themselves our goal
our goal is
goal is to
is to make
to make it
make it as
it as quick
as quick as
quick as possible
as possible for
possible for you
for you to
you to talk
to talk we
talk we made
we made this
made this app
this app as
app as mobile
as mobile simple
mobile simple and
simple and flexible
and flexible as
flexible as possible
as possible so
possible so for
so for one
for one small
one small fee
small fee you
fee you can
you can have
can have everything
have everything you
everything you need
you need to
need to communicate
to communicate don
communicate don t
don t spend
t spend your
spend your time
your time setting
time setting up
setting up spend
up spend your
spend your time
your time talking
time talking quick
talking quick talk
quick talk aac
talk aac has
aac has been
has been effectively
been effectively used
effectively used by
used by individuals
by individuals with
individuals with autism
with autism down
autism down syndrome
down syndrome cerebral
syndrome cerebral palsy
cerebral palsy apraxia
palsy apraxia and
apraxia and other
and other special
other special needs
special needs both
needs both at
both at home
at home and
home and in
and in a
in a school
a school environment
school environment there
environment there is
there is a
is a huge
a huge need
huge need for
need for an
for an assistive
an assistive technology
assistive technology that
technology that can
that can equip
can equip those
equip those who
those who are
who are non
are non verbal
non verbal with
verbal with the
with the ability
the ability to
ability to communicate
to communicate typical
communicate typical augmentative
typical augmentative and
augmentative and alternative
and alternative communication
alternative communication aac
communication aac devices
aac devices and
devices and apps
and apps are
apps are either
are either too
either too expensive
too expensive or
expensive or too
or too complicated
too complicated we
complicated we have
we have set
have set out
set out to
out to change
to change this
change this by
this by providing
by providing an
providing an affordable
an affordable solution
affordable solution to
solution to everyone
to everyone with
everyone with access
with access to
access to ipad
to ipad iphone
ipad iphone or
iphone or ipod
or ipod touch
ipod touch we
touch we developed
we developed quick
developed quick talk
quick talk with
talk with the
with the advice
the advice and
advice and guidance
and guidance from
guidance from experts
from experts in
experts in speech
in speech therapy
speech therapy educators
therapy educators and
educators and individuals
and individuals who
individuals who use
who use aac
use aac devices
aac devices to
devices to pack
to pack it
pack it full
it full of
full of features
of features while
features while keeping
while keeping simplicity
keeping simplicity and
simplicity and cost
and cost in
cost in mind
in mind the
mind the outcome
the outcome is
outcome is a
is a one
a one of
one of a
of a kind
a kind app
kind app that
app that we
that we believe
we believe will
believe will change
will change many
change many lives
many lives we
lives we believe
we believe quick
believe quick talk
quick talk is
talk is going
is going to
going to make
to make a
make a huge
a huge difference
huge difference in
difference in peoples
in peoples lives
peoples lives and
lives and are
and are committed
are committed to
committed to its
to its continual
its continual improvement
continual improvement please
improvement please email
please email us
email us any
us any suggestions
any suggestions you
suggestions you may
you may have
may have about
have about how
about how we
how we can
we can further
can further improve
further improve quick
improve quick talk
quick talk as
talk as we
as we take
we take your
take your feedback
your feedback seriously
feedback seriously key
seriously key quick
key quick talk
quick talk aac
talk aac features
aac features easy
features easy to
easy to use
to use design
use design easy
design easy to
easy to navigate
to navigate great
navigate great to
great to look
to look at
look at and
at and fun
and fun to
fun to use
to use 50
use 50 high
50 high quality
high quality voices
quality voices from
voices from 24
from 24 languages
24 languages to
languages to choose
to choose from
choose from male
from male and
male and female
and female typing
female typing mode
typing mode learns
mode learns your
learns your favorite
your favorite words
favorite words and
words and phrases
and phrases as
phrases as you
as you type
you type sentence
type sentence strip
sentence strip to
strip to combine
to combine your
combine your words
your words and
words and phrases
and phrases using
phrases using both
using both your
both your personal
your personal audio
personal audio and
audio and text
and text to
text to speech
to speech voice
speech voice ipad
voice ipad backup
ipad backup feature
backup feature that
feature that allows
that allows you
allows you to
you to save
to save share
save share or
share or transfer
or transfer your
transfer your profiles
your profiles easily
profiles easily profiles
easily profiles allow
profiles allow for
allow for multiple
for multiple users
multiple users and
users and or
and or setups
or setups includes
setups includes smarty
includes smarty symbols
smarty symbols library
symbols library of
library of 11
of 11 000
11 000 symbols
000 symbols developed
symbols developed by
developed by a
by a licensed
a licensed speech
licensed speech language
speech language pathologist
language pathologist quick
pathologist quick access
quick access to
access to yes
to yes no
yes no from
no from every
from every screen
every screen ability
screen ability to
ability to personalize
to personalize all
personalize all profiles
all profiles categories
profiles categories and
categories and pages
and pages with
pages with personal
with personal create
personal create pages
create pages with
pages with 2
with 2 8
2 8 speech
8 speech buttons
speech buttons each
buttons each to
each to expand
to expand your
expand your options
your options create
options create unlimited
create unlimited profiles
unlimited profiles categories
profiles categories and
categories and pages
and pages and
pages and personalize
and personalize them
personalize them with
them with pictures
with pictures text
pictures text to
text to speech
to speech or
speech or personal
or personal audio
personal audio easy
audio easy navigation
easy navigation options
navigation options for
options for anyone
for anyone to
anyone to use
to use icons
use icons from
icons from icons8
from icons8 about
icons8 about digital
about digital scribbler
digital scribbler inc
scribbler inc founded
inc founded by
founded by russ
by russ ewell
russ ewell digital
ewell digital scribbler
digital scribbler is
scribbler is a
is a technology
a technology company
technology company whose
company whose built
whose built in
built in the
in the garage
the garage origin
garage origin story
origin story typifies
story typifies silicon
typifies silicon valley
silicon valley this
valley this garage
this garage is
garage is now
is now more
now more mentality
more mentality than
mentality than place
than place it
place it is
it is a
is a mindset
a mindset which
mindset which says
which says if
says if we
if we can
we can dream
can dream it
dream it we
it we can
we can build
can build it
build it we
it we dreamed
we dreamed of
dreamed of creating
of creating an
creating an affordable
an affordable communication
affordable communication app
communication app which
app which was
which was capable
was capable of
capable of giving
of giving the
giving the verbally
the verbally challenged
verbally challenged a
challenged a voice
a voice it
voice it needed
it needed to
needed to be
to be mobile
be mobile simple
mobile simple and
simple and flexible
and flexible quick
flexible quick talk
quick talk aac
talk aac was
aac was the
was the result
the result and
result and it
and it has
it has been
has been helping
been helping those
helping those in
those in silence
in silence speak
silence speak ever
speak ever since
