word
need more
more improvement
improvement exactly
exactly what
what my
my autistic
autistic child
child needs
needs who
who has
has stronger
stronger reading
reading skills
skills than
than expressive
expressive skills
skills as
as promised
promised it's
it's simple
simple quick
quick to
to talk
talk and
and gives
gives the
the user
user the
the option
option to
to create
create complete
complete sentences
sentences which
which my
my child
child can
can read
read aloud
aloud to
to that
that other
other apps
apps don't
don't have
have but
but there
there are
are too
too many
many limitations
limitations glitches
glitches 1
1 pls
pls remove
remove new
new page
page label
label from
from the
the name
name caption
caption text
text to
to speech
speech fields
fields when
when adding
adding a
a new
new category
category new
new page
page new
new button
button or
or fade
fade it
it out
out and
and allow
allow us
us to
to write
write over
over it
it eg
eg netflix
netflix search
search field
field it's
it's a
a pain
pain to
to have
have to
to backspace
backspace or
or select
select all
all delete
delete when
when adding
adding info
info to
to this
this page
page 2
2 please
please add
add a
a delete
delete option
option that
that can
can delete
delete everything
everything in
in the
the name
name caption
caption text
text to
to speech
speech fields
fields such
such as
as creating
creating a
a x
x delete
delete button
button 3
3 please
please include
include a
a back
back or
or cancel
cancel button
button on
on the
the edit
edit pages
pages of
of the
the new
new category
category new
new page
page and
and new
new button
button so
so that
that i
i have
have the
the option
option to
to change
change my
my mind
mind about
about not
not saving
saving the
the new
new changes
changes or
or not
not adding
adding a
a new
new category
category page
page button
button the
the only
only way
way to
to back
back out
out of
of the
the edit
edit page
page is
is to
to hit
hit save
save which
which then
then kicks
kicks me
me out
out of
of the
the app
app completely
completely 4
4 plus
plus if
if i
i don't
don't have
have any
any info
info added
added to
to the
the name
name caption
caption text
text to
to speech
speech fields
fields the
the app
app crashes
crashes 5
5 every
every time
time i
i try
try to
to add
add a
a new
new category
category the
the app
app crashes
crashes i
i have
have only
only created
created 3
3 categories
categories and
and the
the app
app is
is already
already having
having a
a hard
hard time
time handling
handling extras
extras 6
6 please
please give
give us
us an
an option
option to
to choose
choose not
not to
to create
create categories
categories 7
7 please
please add
add an
an option
option to
to copy
copy and
and paste
paste a
a button
button from
from one
one category
category to
to another
another category
category 8
8 please
please give
give user
user the
the option
option to
to save
save to
to icloud
icloud so
so that
that we
we don't
don't lose
lose all
all the
the info
info we
we have
have created
created when
when our
our device
device crashes
crashes when
when we
we change
change to
to a
a new
new device
device when
when we
we want
want to
to add
add a
a new
new device
device example
example the
the option
option to
to use
use my
my child's
child's ipod
ipod or
or my
my iphone
iphone and
and not
not carry
carry the
the bulky
bulky ipad
ipad with
with us
us on
on trips
trips and
and not
not forced
forced to
to recreate
recreate the
the content
content in
in order
order to
to do
do that
that thank
thank you
you for
for your
your consideration
consideration i
i am
am willing
willing to
to pay
pay extra
extra for
for the
the requested
requested updates
a great
great and
and simple
simple to
to use
use app
app the
the ability
ability to
to communicate
communicate is
is an
an essential
essential life
life skill
skill to
to have
have it
it is
is important
important for
for my
my students
students with
with communication
communication difficulties
difficulties to
to be
be able
able to
to communicate
communicate basic
basic needs
needs and
and wants
wants independently
independently it
it is
is also
also important
important for
for my
my students
students to
to have
have engaging
engaging conversations
conversations with
with their
their peers
peers quick
quick talk
talk facilitates
facilitates this
this experience
experience where
where my
my students
students can
can do
do both
both my
my students
students with
with low
low muscle
muscle tone
tone and
and who
who have
have trouble
trouble coordinating
coordinating the
the muscles
muscles find
find the
the two
two option
option layout
layout in
in quick
quick talk
talk easier
easier to
to access
access and
and navigate
navigate information
information independently
independently the
the students
students begin
begin by
by personalizing
personalizing their
their quick
quick talk
talk settings
settings practice
practice accessing
accessing their
their desired
desired information
information with
with help
help and
and then
then work
work towards
towards accessing
accessing the
the information
information on
on their
their own
own quick
quick talk
talk also
also facilitates
facilitates a
a natural
natural flow
flow of
of conversation
conversation between
between peers
peers and
and staff
staff some
some students
students won't
won't stay
stay long
long enough
enough to
to hear
hear what
what the
the student
student with
with communication
communication difficulties
difficulties has
has to
to say
say using
using quick
quick talk
talk students
students can
can access
access their
their information
information faster
faster allowing
allowing the
the students
students to
to engage
engage in
in longer
longer conversations
conversations the
the arrows
arrows on
on the
the screen
screen are
are a
a helpful
helpful visual
visual tool
tool for
for the
the students
students to
to be
be able
able o
o now
now where
where to
to navigate
navigate throughout
throughout quick
quick talk
talk great
great app
a must
must have
have for
for slp's
slp's i
i love
love this
this app
app as
as a
a speech
speech language
language pathologist
pathologist i've
i've seen
seen many
many aac
aac apps
apps and
and this
this is
is the
the first
first that
that i've
i've been
been able
able to
to use
use within
within minutes
minutes it
it took
took me
me about
about 5
5 minutes
minutes to
to learn
learn how
how to
to program
program the
the device
device and
and use
use it
it i
i can
can use
use it
it with
with several
several of
of the
the students
students on
on my
my caseload
caseload all
all with
with varying
varying degrees
degrees of
of communication
communication challenges
challenges for
for yes
yes no
no questions
questions simple
simple choices
choices inclusion
inclusion during
during circle
circle times
times classroom
classroom participation
participation and
and more
more i
i don't
don't have
have to
to switch
switch devices
devices or
or apps
apps i
i can
can just
just use
use quick
quick talk
talk the
the teachers
teachers are
are able
able to
to program
program this
this app
app easily
easily and
and it
it doesn't
doesn't take
take several
several training
training sessions
sessions to
to implement
implement use
use with
with their
their students
students this
this app
app is
is able
able to
to bridge
bridge the
the gap
gap between
between communicating
communicating basic
basic wants
wants and
and needs
needs and
and complex
complex phrases
phrases sentences
sentences it's
it's the
the quickest
quickest way
way for
for providing
providing someone
someone with
with quick
quick functional
functional communication
high hopes
hopes here
here i
i am
am a
a 20
20 year
year old
old college
college student
student who
who has
has been
been friends
friends with
with and
and has
has worked
worked with
with children
children young
young adults
adults who
who are
are verbally
verbally challenged
challenged with
with special
special needs
needs for
for over
over 10
10 years
years using
using this
this app
app the
the last
last few
few days
days i
i am
am impressed
impressed with
with the
the extreme
extreme amount
amount of
of customizability
customizability i
i can
can really
really see
see this
this becoming
becoming my
my friends
friends main
main way
way of
of communication
communication in
in the
the palm
palm of
of his
his hand
hand i
i am
am very
very hopeful
hopeful for
for this
this app
app to
to be
be a
a huge
huge relief
relief in
in communication
communication already
already the
the last
last 3
3 days
days we
we have
have been
been able
able to
to communicate
communicate much
much quicker
quicker and
and much
much easier
easier smiling
smiling every
every time
time we
we customize
customize a
a new
new box
