word,n
students,11
quick,9
option,8
talk,8
button,6
category,6
communication,6
page,6
add,4
delete,4
device,4
information,4
speech,4
adding,3
caption,3
communicate,3
crashes,3
fields,3
info,3
simple,3
text,3
time,3
access,2
accessing,2
basic,2
categories,2
change,2
child,2
conversations,2
create,2
created,2
days,2
difficulties,2
easier,2
edit,2
facilitates,2
friends,2
independently,2
minutes,2
navigate,2
peers,2
program,2
save,2
sentences,2
skills,2
student,2
user,2
1,1
4,1
6,1
7,1
8,1
ability,1
added,1
adults,1
allowing,1
aloud,1
amount,1
arrows,1
autistic,1
backspace,1
begin,1
box,1
bridge,1
bulky,1
cancel,1
carry,1
caseload,1
challenged,1
challenges,1
child's,1
children,1
choices,1
choose,1
circle,1
classroom,1
college,1
communicating,1
complete,1
completely,1
complex,1
consideration,1
content,1
conversation,1
coordinating,1
copy,1
creating,1
customizability,1
customize,1
degrees,1
desired,1
devices,1
easily,1
engage,1
engaging,1
essential,1
experience,1
expressive,1
extra,1
extras,1
extreme,1
fade,1
faster,1
field,1
flow,1
forced,1
functional,1
gap,1
glitches,1
hand,1
handling,1
hard,1
hear,1
helpful,1
hit,1
hopeful,1
hopes,1
huge,1
icloud,1
implement,1
impressed,1
improvement,1
include,1
inclusion,1
kicks,1
label,1
language,1
layout,1
learn,1
life,1
limitations,1
lose,1
love,1
low,1
main,1
mind,1
muscle,1
muscles,1
natural,1
netflix,1
pages,1
pain,1
palm,1
participation,1
paste,1
pathologist,1
pay,1
personalizing,1
phrases,1
pls,1
practice,1
promised,1
providing,1
questions,1
quicker,1
quickest,1
read,1
reading,1
recreate,1
relief,1
remove,1
requested,1
saving,1
screen,1
search,1
select,1
sessions,1
settings,1
skill,1
slp's,1
smiling,1
special,1
staff,1
stay,1
stronger,1
switch,1
teachers,1
times,1
tone,1
tool,1
training,1
trips,1
trouble,1
updates,1
varying,1
verbally,1
visual,1
write,1
