Frequency,Word
10,touchchat
10,buttons
8,page
6,message
6,sets
6,button
5,pages
5,text
5,files
4,messages
4,copied
4,new
3,communication
3,individuals
3,voice
3,available
3,choose
3,feature
3,navigate
3,speak
3,different
3,custom
3,users
2,using
2,natural
2,ability
2,use
2,fits
2,spoken
2,built-in
2,english
2,user
2,simply
2,programmed
2,actions
2,included
2,needs
2,generated
2,applications
2,symbols
2,location
2,pasted
2,photo
2,time
2,release
2,iphone
2,ipod
1,hd
1,ipad
1,full-featured
1,solution
1,difficulty
1,designed
1,autism
1,syndrome
1,als
1,apraxia
1,stroke
1,conditions
1,affect
1,person's
1,speech
1,category
1,assistive
1,technology
1,known
1,augmentative
1,alternative
1,aac
1,includes
1,features
1,previously
1,expensive
1,dedicated
1,devices
1,words
1,phrases
1,synthesizer
1,playing
1,recorded
1,five
1,british
1,synthesized
1,voices
1,allowing
1,personality
1,unique
1,whereby
1,one
1,tilt
1,device
1,expand
1,fill
1,screen
1,large
1,letters
1,allows
1,person
1,communicate
1,silently
1,noisy
1,environment
1,gives
1,individual
1,linked
1,divided
1,number
1,specific
1,example
1,change
1,volume
1,clear
1,display
1,four
1,vocabpc
1,multichat
1,primary
1,spelling
1,set
1,targets
1,additional
1,including
1,wordpower
1,essence
1,in-app
1,purchases
1,shared
1,facebook
1,twitter
1,tumblr
1,via
1,email
1,simple
1,just
1,generate
1,push
1,service
1,touch
1,send
1,automatically
1,posted
1,loud
1,grid
1,layout
1,fully
1,customizable
1,easily
1,rearranged
1,dragging
1,desired
1,styling
1,colors
1,borders
1,fonts
1,provided
1,modified
1,create
1,select
1,creating
1,symbolstix
1,customizing
1,image
1,camera
1,gestures
1,used
1,etc
1,activation
1,timing
1,adjusted
1,meet
1,capabilities
1,adjustments
1,include
1,dwell
1,configured
1,activate
1,program
1,play
1,audio
1,music
1,media
1,library
1,video
1,roll
1,great
1,measures
1,taken
1,protect
1,vocabulary
1,imported
1,exported
1,computer
1,itunes
1,file
1,sharing
1,enables
1,subscribe
1,ishare
1,store
1,safe
1,keeping
1,share
1,customized
1,online
1,community
1,note
1,purchase
1,touchchat-aac
