Frequency,Word
7,app
5,button
4,corner
3,students
3,home
3,page
3,vocabulary
3,layout
3,every
3,update
2,intuitive
2,users
2,example
2,programming
2,jumps
2,food
2,levels
2,across
2,user
2,buttons
2,bottom
2,top
2,logo
2,day
2,using
2,interrupt
2,hit
2,speech
2,back
2,touchchat
2,word
2,find
2,little
2,use
2,communication
2,unable
2,help
2,please
2,better
1,touchchathd
1,first
1,try
1,nonverbal
1,limited
1,verbal
1,special
1,education
1,helps
1,reduce
1,frustration
1,assisting
1,navigation
1,new
1,person
1,presses
1,eat
1,automatically
1,without
1,extra
1,select
1,lots
1,types
1,aac
1,complaints
1,consistent
1,ready
1,progress
1,level
1,robust
1,main
1,changes
1,drastically
1,makes
1,relearn
1,basic
1,motor
1,patterns
1,move
1,clear
1,moves
1,lower
1,opposite
1,saves
1,image
1,device’s
1,camera
1,roll
1,used
1,minor
1,annoyance
1,seen
1,gets
1,old
1,deleting
1,useful
1,talk
1,last
1,function
1,stopped
1,working
1,accidentally
1,speak
1,display
1,bar
1,second
1,time
1,whoever
1,listen
1,whole
1,message
1,close
1,continue
1,finish
1,bring
1,power
1,versatile
1,single
1,teacher
1,love
1,easy
1,icon
1,locations
1,needed
1,mimics
1,naturally
1,occurring
1,easier
1,proloquogo
1,initiating
1,latest
1,program
1,picking
1,pictures
1,longer
1,pages
1,sound
1,tested
1,voice
1,editor
1,work
1,troubleshooting
1,fix
1,glitches
1,newest
1,screen
1,freezes
1,turns
1,blank
1,son
1,relies
1,incredibly
1,frustrating
1,disappointed
1,purchase
1,works
1,ipad
1,price
1,apps
1,cost
1,compatible
1,multiple
1,devices
1,reviews
1,lack
1,picture
1,addition
1,going
1,sentence
1,strip
1,major
1,drawback
1,deal
1,customer
1,service
1,less
1,helpful
