word,n
can be,11
page sets,6
be copied,4
buttons can,3
a different,2
a message,2
a person,2
ability to,2
and ipod,2
and pasted,2
are available,2
are included,2
built in,2
choose a,2
copied and,2
copied to,2
custom files,2
for individuals,2
from the,2
individuals with,2
into a,2
iphone and,2
navigate to,2
other applications,2
pasted into,2
programmed to,2
sets are,2
speak messages,2
symbols are,2
text generated,2
the message,2
the user,2
to a,2
to navigate,2
touchchat also,2
with the,2
000 symbolstix,1
10 000,1
15 primary,1
2 british,1
30 button,1
a built,1
a button,1
a computer,1
a full,1
a noisy,1
a number,1
a photo,1
a service,1
a unique,1
a voice,1
aac and,1
aac for,1
actions for,1
actions when,1
activate on,1
activation timing,1
additional page,1
adjusted to,1
adjustments include,1
affect a,1
allowing the,1
allows a,1
als apraxia,1
also be,1
also buttons,1
also enables,1
also has,1
also text,1
alternative communication,1
an individual,1
an online,1
and 2,1
and alternative,1
and button,1
and capabilities,1
and choose,1
and email,1
and essence,1
and exported,1
and includes,1
and messages,1
and speak,1
and spelling,1
and store,1
and symbols,1
and the,1
another button,1
any image,1
app purchases,1
applications can,1
applications the,1
apraxia stroke,1
are fully,1
are linked,1
are programmed,1
are spoken,1
as augmentative,1
as in,1
as music,1
assistive technology,1
audio files,1
augmentative and,1
autism down,1
automatically posted,1
available allowing,1
available as,1
available in,1
be adjusted,1
be configured,1
be easily,1
be imported,1
be modified,1
be programmed,1
be shared,1
be spoken,1
be used,1
been taken,1
borders fonts,1
british english,1
button actions,1
button activation,1
button colors,1
button dwell,1
button provided,1
button release,1
buttons are,1
buttons may,1
buttons messages,1
buttons over,1
buttons the,1
buttons to,1
buttons use,1
by playing,1
by simply,1
camera gestures,1
can also,1
can program,1
can simply,1
capabilities of,1
category of,1
change the,1
choose to,1
clear the,1
colors borders,1
communicate silently,1
communication aac,1
communication needs,1
communication solution,1
community note,1
computer using,1
conditions that,1
configured to,1
create new,1
creating new,1
custom page,1
customizable buttons,1
customized pages,1
customizing buttons,1
dedicated devices,1
designed for,1
desired new,1
device to,1
devices words,1
different communication,1
different location,1
different page,1
difficulty using,1
display four,1
divided into,1
down syndrome,1
dragging them,1
dwell time,1
each of,1
each page,1
easily rearranged,1
email it,1
enables users,1
english and,1
english synthesized,1
environment touchchat,1
essence are,1
etc button,1
example buttons,1
expand to,1
expensive dedicated,1
exported to,1
facebook twitter,1
feature allows,1
feature touchchat,1
feature whereby,1
featured communication,1
features that,1
file sharing,1
files can,1
files for,1
files from,1
files such,1
files vocabulary,1
fill the,1
fits into,1
fits their,1
five us,1
fonts can,1
for customizing,1
for example,1
for ipad,1
for iphone,1
for safe,1
four page,1
from other,1
from over,1
full featured,1
fully customizable,1
generate a,1
generated in,1
generated with,1
gestures can,1
gives an,1
great measures,1
grid layout,1
has a,1
have been,1
have difficulty,1
have specific,1
hd for,1
image or,1
imported and,1
in a,1
in app,1
in camera,1
in large,1
in much,1
in touchchat,1
in voice,1
include button,1
included for,1
included with,1
