word
touchchat hd
hd for
for ipad
ipad is
is a
a full
full featured
featured communication
communication solution
solution for
for individuals
individuals who
who have
have difficulty
difficulty using
using their
their natural
natural voice
voice touchchat
touchchat is
is designed
designed for
for individuals
individuals with
with autism
autism down
down syndrome
syndrome als
als apraxia
apraxia stroke
stroke or
or other
other conditions
conditions that
that affect
affect a
a person
person s
s ability
ability to
to use
use natural
natural speech
speech touchchat
touchchat fits
fits into
into the
the category
category of
of assistive
assistive technology
technology known
known as
as augmentative
augmentative and
and alternative
alternative communication
communication aac
aac and
and includes
includes features
features that
that were
were previously
previously only
only available
available in
in much
much more
more expensive
expensive dedicated
dedicated devices
devices words
words phrases
phrases and
and messages
messages are
are spoken
spoken with
with a
a built
built in
in voice
voice synthesizer
synthesizer or
or by
by playing
playing recorded
recorded message
message five
five us
us english
english and
and 2
2 british
british english
english synthesized
synthesized voices
voices are
are available
available allowing
allowing the
the user
user to
to choose
choose a
a voice
voice that
that fits
fits their
their own
own personality
personality touchchat
touchchat also
also has
has a
a unique
unique feature
feature whereby
whereby one
one can
can simply
simply tilt
tilt the
the device
device to
to make
make the
the message
message expand
expand to
to fill
fill the
the screen
screen in
in large
large letters
letters this
this feature
feature allows
allows a
a person
person to
to communicate
communicate silently
silently or
or in
in a
a noisy
noisy environment
environment touchchat
touchchat gives
gives an
an individual
individual the
the ability
ability to
to navigate
navigate through
through page
page sets
sets and
and speak
speak messages
messages page
page sets
sets are
are linked
linked pages
pages each
each of
of which
which is
is divided
divided into
into a
a number
number of
of buttons
buttons the
the buttons
buttons are
are programmed
programmed to
to have
have specific
specific actions
actions for
for example
example buttons
buttons may
may be
be programmed
programmed to
to speak
speak a
a message
message navigate
navigate to
to a
a different
different page
page change
change the
the volume
volume or
or clear
clear the
the display
display four
four page
page sets
sets are
are included
included with
with the
the touchchat
touchchat vocabpc
vocabpc multichat
multichat 15
15 primary
primary and
and spelling
spelling each
each page
page set
set targets
targets individuals
individuals with
with different
different communication
communication needs
needs additional
additional page
page sets
sets including
including wordpower
wordpower and
and essence
essence are
are available
available as
as in
in app
app purchases
purchases text
text generated
generated with
with touchchat
touchchat pages
pages can
can be
be shared
shared on
on facebook
facebook twitter
twitter tumblr
tumblr or
or via
via text
text message
message and
and email
email it
it s
s simple
simple too
too just
just generate
generate a
a message
message push
push on
on the
the text
text and
and choose
choose a
a service
service touch
touch send
send and
and the
the message
message is
is automatically
automatically posted
posted text
text from
from other
other applications
applications can
can be
be copied
copied to
to touchchat
touchchat so
so that
that it
it can
can be
be spoken
spoken out
out loud
loud also
also text
text generated
generated in
in touchchat
touchchat can
can be
be copied
copied to
to other
other applications
applications the
the pages
pages grid
grid layout
layout buttons
buttons messages
messages and
and symbols
symbols are
are fully
fully customizable
customizable buttons
buttons can
can be
be easily
easily rearranged
rearranged by
by simply
simply dragging
dragging them
them to
to the
the desired
desired new
new location
location buttons
buttons can
can be
be copied
copied and
and pasted
pasted into
into a
a different
different location
location the
the styling
styling of
of a
a button
button colors
colors borders
borders fonts
fonts can
can be
be copied
copied and
and pasted
pasted into
into another
another button
button provided
provided page
page sets
sets can
can be
be modified
modified to
to create
create new
new custom
custom page
page sets
sets select
select from
from over
over 30
30 button
button actions
actions when
when creating
creating new
new buttons
buttons over
over 10
10 000
000 symbolstix
symbolstix symbols
symbols are
are included
included for
for customizing
customizing buttons
buttons use
use any
any image
image or
or take
take a
a photo
photo with
with the
the built
built in
in camera
camera gestures
gestures can
can also
also be
be used
used to
to navigate
navigate to
to new
new pages
pages speak
speak messages
messages etc
etc button
button activation
activation timing
timing can
can be
be adjusted
adjusted to
to meet
meet the
the needs
needs and
and capabilities
capabilities of
of the
the user
user adjustments
adjustments include
include button
button dwell
dwell time
time and
and button
button release
release time
time also
also buttons
buttons can
can be
be configured
configured to
to activate
activate on
on release
release users
users can
can program
program buttons
buttons to
to play
play audio
audio files
files such
such as
as music
music from
from the
the media
media library
library or
or video
video files
files from
from the
the photo
photo roll
roll great
great measures
measures have
have been
been taken
taken to
to protect
protect custom
custom files
files vocabulary
vocabulary files
files can
can be
be imported
imported and
and exported
exported to
to a
a computer
computer using
using the
the itunes
itunes file
file sharing
sharing feature
feature touchchat
touchchat also
also enables
enables users
users to
to subscribe
subscribe to
to ishare
ishare and
and store
store custom
custom files
files for
for safe
safe keeping
keeping or
or choose
choose to
to share
share customized
customized pages
pages with
with an
an online
online community
community note
note iphone
iphone and
and ipod
ipod users
users should
should purchase
purchase touchchat
touchchat aac
aac for
for iphone
iphone and
and ipod
