word
touchchat hd for
hd for ipad
for ipad is
ipad is a
is a full
a full featured
full featured communication
featured communication solution
communication solution for
solution for individuals
for individuals who
individuals who have
who have difficulty
have difficulty using
difficulty using their
using their natural
their natural voice
natural voice touchchat
voice touchchat is
touchchat is designed
is designed for
designed for individuals
for individuals with
individuals with autism
with autism down
autism down syndrome
down syndrome als
syndrome als apraxia
als apraxia stroke
apraxia stroke or
stroke or other
or other conditions
other conditions that
conditions that affect
that affect a
affect a person
a person s
person s ability
s ability to
ability to use
to use natural
use natural speech
natural speech touchchat
speech touchchat fits
touchchat fits into
fits into the
into the category
the category of
category of assistive
of assistive technology
assistive technology known
technology known as
known as augmentative
as augmentative and
augmentative and alternative
and alternative communication
alternative communication aac
communication aac and
aac and includes
and includes features
includes features that
features that were
that were previously
were previously only
previously only available
only available in
available in much
in much more
much more expensive
more expensive dedicated
expensive dedicated devices
dedicated devices words
devices words phrases
words phrases and
phrases and messages
and messages are
messages are spoken
are spoken with
spoken with a
with a built
a built in
built in voice
in voice synthesizer
voice synthesizer or
synthesizer or by
or by playing
by playing recorded
playing recorded message
recorded message five
message five us
five us english
us english and
english and 2
and 2 british
2 british english
british english synthesized
english synthesized voices
synthesized voices are
voices are available
are available allowing
available allowing the
allowing the user
the user to
user to choose
to choose a
choose a voice
a voice that
voice that fits
that fits their
fits their own
their own personality
own personality touchchat
personality touchchat also
touchchat also has
also has a
has a unique
a unique feature
unique feature whereby
feature whereby one
whereby one can
one can simply
can simply tilt
simply tilt the
tilt the device
the device to
device to make
to make the
make the message
the message expand
message expand to
expand to fill
to fill the
fill the screen
the screen in
screen in large
in large letters
large letters this
letters this feature
this feature allows
feature allows a
allows a person
a person to
person to communicate
to communicate silently
communicate silently or
silently or in
or in a
in a noisy
a noisy environment
noisy environment touchchat
environment touchchat gives
touchchat gives an
gives an individual
an individual the
individual the ability
the ability to
ability to navigate
to navigate through
navigate through page
through page sets
page sets and
sets and speak
and speak messages
speak messages page
messages page sets
page sets are
sets are linked
are linked pages
linked pages each
pages each of
each of which
of which is
which is divided
is divided into
divided into a
into a number
a number of
number of buttons
of buttons the
buttons the buttons
the buttons are
buttons are programmed
are programmed to
programmed to have
to have specific
have specific actions
specific actions for
actions for example
for example buttons
example buttons may
buttons may be
may be programmed
be programmed to
programmed to speak
to speak a
speak a message
a message navigate
message navigate to
navigate to a
to a different
a different page
different page change
page change the
change the volume
the volume or
volume or clear
or clear the
clear the display
the display four
display four page
four page sets
page sets are
sets are included
are included with
included with the
with the touchchat
the touchchat vocabpc
touchchat vocabpc multichat
vocabpc multichat 15
multichat 15 primary
15 primary and
primary and spelling
and spelling each
spelling each page
each page set
page set targets
set targets individuals
targets individuals with
individuals with different
with different communication
different communication needs
communication needs additional
needs additional page
additional page sets
page sets including
sets including wordpower
including wordpower and
wordpower and essence
and essence are
essence are available
are available as
available as in
as in app
in app purchases
app purchases text
purchases text generated
text generated with
generated with touchchat
with touchchat pages
touchchat pages can
pages can be
can be shared
be shared on
shared on facebook
on facebook twitter
facebook twitter tumblr
twitter tumblr or
tumblr or via
or via text
via text message
text message and
message and email
and email it
email it s
it s simple
s simple too
simple too just
too just generate
just generate a
generate a message
a message push
message push on
push on the
on the text
the text and
text and choose
and choose a
choose a service
a service touch
service touch send
touch send and
send and the
and the message
the message is
message is automatically
is automatically posted
automatically posted text
posted text from
text from other
from other applications
other applications can
applications can be
can be copied
be copied to
copied to touchchat
to touchchat so
touchchat so that
so that it
that it can
it can be
can be spoken
be spoken out
spoken out loud
out loud also
loud also text
also text generated
text generated in
generated in touchchat
in touchchat can
touchchat can be
can be copied
be copied to
copied to other
to other applications
other applications the
applications the pages
the pages grid
pages grid layout
grid layout buttons
layout buttons messages
buttons messages and
messages and symbols
and symbols are
symbols are fully
are fully customizable
fully customizable buttons
customizable buttons can
buttons can be
can be easily
be easily rearranged
easily rearranged by
rearranged by simply
by simply dragging
simply dragging them
dragging them to
them to the
to the desired
the desired new
desired new location
new location buttons
location buttons can
buttons can be
can be copied
be copied and
copied and pasted
and pasted into
pasted into a
into a different
a different location
different location the
location the styling
the styling of
styling of a
of a button
a button colors
button colors borders
colors borders fonts
borders fonts can
fonts can be
can be copied
be copied and
copied and pasted
and pasted into
pasted into another
into another button
another button provided
button provided page
provided page sets
page sets can
sets can be
can be modified
be modified to
modified to create
to create new
create new custom
new custom page
custom page sets
page sets select
sets select from
select from over
from over 30
over 30 button
30 button actions
button actions when
actions when creating
when creating new
creating new buttons
new buttons over
buttons over 10
over 10 000
10 000 symbolstix
000 symbolstix symbols
symbolstix symbols are
symbols are included
are included for
included for customizing
for customizing buttons
customizing buttons use
buttons use any
use any image
any image or
image or take
or take a
take a photo
a photo with
photo with the
with the built
the built in
built in camera
in camera gestures
camera gestures can
gestures can also
can also be
also be used
be used to
used to navigate
to navigate to
navigate to new
to new pages
new pages speak
pages speak messages
speak messages etc
messages etc button
etc button activation
button activation timing
activation timing can
timing can be
can be adjusted
be adjusted to
adjusted to meet
to meet the
meet the needs
the needs and
needs and capabilities
and capabilities of
capabilities of the
of the user
the user adjustments
user adjustments include
adjustments include button
include button dwell
button dwell time
dwell time and
time and button
and button release
button release time
release time also
time also buttons
also buttons can
buttons can be
can be configured
be configured to
configured to activate
to activate on
activate on release
on release users
release users can
users can program
can program buttons
program buttons to
buttons to play
to play audio
play audio files
audio files such
files such as
such as music
as music from
music from the
from the media
the media library
media library or
library or video
or video files
video files from
files from the
from the photo
the photo roll
photo roll great
roll great measures
great measures have
measures have been
have been taken
been taken to
taken to protect
to protect custom
protect custom files
custom files vocabulary
files vocabulary files
vocabulary files can
files can be
can be imported
be imported and
imported and exported
and exported to
exported to a
to a computer
a computer using
computer using the
using the itunes
the itunes file
itunes file sharing
file sharing feature
sharing feature touchchat
feature touchchat also
touchchat also enables
also enables users
enables users to
users to subscribe
to subscribe to
subscribe to ishare
to ishare and
ishare and store
and store custom
store custom files
custom files for
files for safe
for safe keeping
safe keeping or
keeping or choose
or choose to
choose to share
to share customized
share customized pages
customized pages with
pages with an
with an online
an online community
online community note
community note iphone
note iphone and
iphone and ipod
and ipod users
ipod users should
users should purchase
should purchase touchchat
purchase touchchat aac
touchchat aac for
aac for iphone
for iphone and
iphone and ipod
