word
touchchathd is
is the
the first
first app
app i
i try
try with
with my
my nonverbal
nonverbal or
or limited
limited verbal
verbal special
special education
education students
students it’s
it’s very
very intuitive
intuitive and
and helps
helps reduce
reduce frustration
frustration by
by assisting
assisting navigation
navigation for
for new
new users
users for
for example
example if
if a
a person
person presses
presses the
the eat
eat button
button it
it automatically
automatically without
without extra
extra programming
programming jumps
jumps to
to the
the food
food home
home page
page to
to select
select the
the food
food it
it has
has lots
lots of
of levels
levels for
for all
all types
types of
of aac
aac users
users my
my only
only complaints
complaints would
would be
be 1
1 the
the vocabulary
vocabulary layout
layout is
is not
not consistent
consistent across
across levels
levels so
so that
that if
if a
a user
user is
is ready
ready to
to progress
progress to
to a
a level
level with
with more
more robust
robust vocabulary
vocabulary and
and buttons
buttons the
the layout
layout of
of main
main buttons
buttons changes
changes drastically
drastically which
which makes
makes the
the user
user relearn
relearn basic
basic motor
motor patterns
patterns for
for example
example the
the home
home button
button may
may move
move from
from the
the bottom
bottom corner
corner to
to the
the top
top corner
corner or
or the
the clear
clear button
button moves
moves from
from the
the lower
lower bottom
bottom corner
corner to
to the
the opposite
opposite top
top corner
corner 2
2 the
the app
app saves
saves an
an image
image of
of the
the logo
logo to
to the
the device’s
device’s camera
camera roll
roll every
every day
day the
the app
app is
is used
used this
this is
is a
a minor
minor annoyance
annoyance but
but i
i have
have never
never seen
seen another
another app
app do
do this
this and
and it
it gets
gets old
old deleting
deleting the
the logo
logo every
every day
day i
i like
like using
using it’s
it’s useful
useful as
as i
i cannot
cannot talk
talk but
but since
since the
the last
last update
update the
the interrupt
interrupt function
function has
has stopped
stopped working
working so
so if
if you
you accidentally
accidentally hit
hit the
the speak
speak button
button or
or speech
speech display
display bar
bar a
a second
second time
time you
you and
and whoever
whoever you
you are
are with
with has
has to
to listen
listen to
to the
the whole
whole message
message again
again you
you can
can hit
hit the
the home
home button
button and
and close
close the
the app
app but
but then
then when
when you
you come
come back
back to
to the
the app
app it
it will
will continue
continue what
what it
it did
did not
not finish
finish can
can you
you bring
bring back
back the
the interrupt
touchchat with
with word
word power
power is
is versatile
versatile and
and very
very intuitive
intuitive every
every single
single teacher
teacher of
of students
students using
using it
it love
love it
it because
because it
it is
is easy
easy to
to find
find icon
icon locations
locations and
and very
very little
little programming
programming is
is needed
needed because
because the
the vocabulary
vocabulary layout
layout mimics
mimics naturally
naturally occurring
occurring speech
speech so
so much
much easier
easier to
to use
use than
than proloquo2go
proloquo2go my
my students
students are
are initiating
initiating so
so much
much more
more communication
communication with
with touchchat
with the
the latest
latest update
update unable
unable to
to use
use program
program when
when picking
picking pictures
pictures no
no longer
longer jumps
jumps to
to the
the pages
pages and
and there
there is
is no
no sound
sound i
i have
have tested
tested the
the voice
voice under
under page
page editor
editor that
that work
work unable
unable to
to find
find troubleshooting
troubleshooting under
under help
help page
page help
help please
please fix
fix the
the glitches
glitches from
from the
the newest
newest update
update screen
screen freezes
freezes and
and then
then turns
turns blank
blank my
my son
son relies
relies on
on this
this app
app for
for communication
communication and
and this
this is
is incredibly
incredibly frustrating
frustrating disappointed
disappointed with
with this
this purchase
purchase as
as it
it only
only works
works on
on the
the ipad
ipad for
for the
the price
price there
there are
are better
better apps
apps out
out there
there that
that only
only cost
cost a
a little
little more
more that
that are
are compatible
compatible across
across multiple
multiple devices
devices and
and have
have way
way better
better reviews
reviews also
also the
the lack
lack of
of the
the picture
picture in
in addition
addition to
to the
the word
word going
going up
up into
into the
the sentence
sentence strip
strip is
is a
a major
major drawback
drawback when
when i
i did
did deal
deal with
with customer
customer service
service they
they were
were less
less than
than helpful
