word,n
bottom corner to,2
corner to the,2
jumps to the,2
the home button,2
the vocabulary layout,2
1 the vocabulary,1
2 the app,1
a level with,1
a little more,1
a major drawback,1
a minor annoyance,1
a person presses,1
a second time,1
a user is,1
aac users my,1
accidentally hit the,1
across levels so,1
across multiple devices,1
addition to the,1
again you can,1
all types of,1
also the lack,1
an image of,1
and buttons the,1
and close the,1
and have way,1
and helps reduce,1
and it gets,1
and then turns,1
and there is,1
and this is,1
and very intuitive,1
and very little,1
and whoever you,1
annoyance but i,1
another app do,1
app but then,1
app do this,1
app for communication,1
app i try,1
app is used,1
app it will,1
app saves an,1
apps out there,1
are better apps,1
are compatible across,1
are initiating so,1
are with has,1
as i cannot,1
as it only,1
assisting navigation for,1
automatically without extra,1
back the interrupt,1
back to the,1
bar a second,1
basic motor patterns,1
be 1 the,1
because it is,1
because the vocabulary,1
better apps out,1
better reviews also,1
blank my son,1
bring back the,1
but i have,1
but since the,1
but then when,1
button and close,1
button it automatically,1
button may move,1
button moves from,1
button or speech,1
buttons changes drastically,1
buttons the layout,1
by assisting navigation,1
camera roll every,1
can hit the,1
can you bring,1
cannot talk but,1
changes drastically which,1
clear button moves,1
close the app,1
come back to,1
communication and this,1
communication with touchchat,1
compatible across multiple,1
complaints would be,1
consistent across levels,1
continue what it,1
corner 2 the,1
corner or the,1
cost a little,1
customer service they,1
day i like,1
day the app,1
deal with customer,1
deleting the logo,1
devices and have,1
device’s camera roll,1
did deal with,1
did not finish,1
disappointed with this,1
display bar a,1
do this and,1
drastically which makes,1
drawback when i,1
easier to use,1
easy to find,1
eat button it,1
editor that work,1
education students it’s,1
every day i,1
every day the,1
every single teacher,1
example if a,1
example the home,1
extra programming jumps,1
find icon locations,1
find troubleshooting under,1
finish can you,1
first app i,1
fix the glitches,1
food home page,1
food it has,1
for all types,1
for communication and,1
for example if,1
for example the,1
for new users,1
for the price,1
freezes and then,1
from the bottom,1
from the lower,1
from the newest,1
frustrating disappointed with,1
frustration by assisting,1
function has stopped,1
gets old deleting,1
glitches from the,1
going up into,1
has lots of,1
has stopped working,1
has to listen,1
have never seen,1
have tested the,1
have way better,1
help page help,1
helps reduce frustration,1
hit the home,1
hit the speak,1
home button and,1
home button may,1
home page to,1
i cannot talk,1
i did deal,1
i have never,1
i have tested,1
i like using,1
i try with,1
icon locations and,1
if a person,1
