"","1","2","3","4","5","6","7","8","9"
"1 authoring",0,0,0,0,1,0,0,0,0
"1 grandson",0,0,0,0,1,0,0,0,0
"1 pls",0,0,0,0,0,0,1,0,0
"1 vocabulary",0,0,0,0,0,0,0,1,0
"1,000 life",0,0,0,0,0,1,0,0,0
"100 additional",1,0,0,0,0,0,0,0,0
"100 included",0,1,0,0,0,0,0,0,0
"100 people",1,0,0,0,0,0,0,0,0
"11 exact",0,0,0,0,0,1,0,0,0
"11 symbols",0,0,1,0,0,0,0,0,0
"12 life",0,0,0,0,0,0,0,0,1
"13 reality",0,0,0,0,0,0,0,0,1
"14 ready",0,0,0,0,0,1,0,0,0
"15 primary",0,0,0,1,0,0,0,0,0
"200 400",0,1,0,0,0,0,0,0,0
"2000 6",0,0,0,0,1,0,0,0,0
"2016 update",0,0,0,0,1,0,0,0,0
"2018 77.6",0,0,0,0,0,0,0,0,1
"2022 concluded",0,0,0,0,0,0,0,0,1
"2022 covid",0,0,0,0,0,0,0,0,1
"2022 statistics",0,0,0,0,0,0,0,0,1
"23 pre",0,1,0,0,0,0,0,0,0
"24 languages",0,0,1,0,0,0,0,0,0
"25 adolescents",0,0,0,0,0,0,0,0,1
"25 symbols",0,1,0,0,0,0,0,0,0
"26 autism",0,0,0,0,1,0,0,0,0
"30 button",0,0,0,1,0,0,0,0,0
"30 trial",1,0,0,0,1,0,0,0,0
"4 helped",0,0,0,0,1,0,0,0,0
"4 info",0,0,0,0,0,0,1,0,0
"4 quickly",0,0,0,0,1,0,0,0,0
"400 words",0,1,0,0,0,0,0,0,0
"42 button",0,0,0,0,0,0,0,0,1
"42 buttons",0,0,0,0,0,0,0,0,1
"47 time",0,0,0,0,0,0,0,0,1
"50 quality",0,0,1,0,0,0,0,0,0
"6 months",0,0,0,0,0,1,0,0,0
"6 option",0,0,0,0,0,0,1,0,0
"6 student",0,0,0,0,1,0,0,0,0
"6x8 grid",0,0,0,0,0,1,0,0,0
"7 add",0,0,0,0,0,0,1,0,0
"7 days",0,1,0,0,0,0,0,0,0
"7 love",0,0,0,0,0,1,0,0,0
"7,000 protective",0,0,0,0,0,1,0,0,0
"77.6 people",0,0,0,0,0,0,0,0,1
"8 speech",0,0,1,0,0,0,0,0,0
"8 user",0,0,0,0,0,0,1,0,0
"80 core",0,1,0,0,0,0,0,0,0
"81.3 time",0,0,0,0,0,0,0,0,1
"9 application",0,0,0,0,0,0,0,0,1
"abandon idea",0,0,0,0,0,0,0,0,1
"ability communicate",0,0,1,0,0,0,1,0,1
"ability control",0,0,0,0,0,0,0,0,1
"ability natural",0,0,0,1,0,0,0,0,0
"ability navigate",0,0,0,1,0,0,0,0,0
"ability personalize",0,0,1,0,0,0,0,0,0
"ability speak",0,0,0,0,0,0,0,0,1
"ability starting",0,0,0,0,0,0,0,0,1
"ability supports",1,0,0,0,0,0,0,0,0
"ability swipe",0,0,0,0,0,1,0,0,0
"absolutely worse",0,0,0,0,0,0,0,0,1
"abuse tragically",0,0,0,0,0,0,0,0,1
"abused physically",0,0,0,0,0,0,0,0,1
"abyss remember",0,0,0,0,0,0,0,0,1
"acapela voice",0,0,0,0,1,0,0,0,0
"accept struggled",0,0,0,0,0,0,0,0,1
"acceptance social",0,0,0,0,0,0,0,0,1
"accepted community",0,0,0,0,0,0,0,0,1
"access based",0,0,0,0,0,0,0,0,1
"access board",0,0,0,0,1,0,0,0,0
"access buttons",0,0,0,0,0,0,0,0,1
"access core",1,0,0,0,0,0,0,0,0
"access customizable",0,1,0,0,0,0,0,0,0
"access device",1,0,0,0,0,0,0,0,0
"access finally",0,0,0,0,1,0,0,0,0
"access information",0,0,0,0,0,0,1,0,0
"access month",0,0,0,0,0,0,0,0,1
"access motor",0,1,0,0,0,0,0,0,0
"access navigate",0,0,0,0,0,0,1,0,0
"access range",0,0,0,0,0,0,0,0,1
"access relevant",1,0,0,0,0,0,0,0,0
"access rest",0,0,0,0,0,1,0,0,0
"access screen",0,0,1,0,0,0,0,0,0
"access symbolstix",1,0,0,0,0,0,0,0,0
"access touch",0,0,1,0,0,0,0,0,0
"accessed assistiveware",0,1,0,0,0,0,0,0,0
"accessibility challenges",0,0,0,0,0,0,0,0,1
"accessibility forms",0,0,0,0,0,0,0,0,1
"accessibility matter",0,0,0,0,0,0,0,0,1
"accessibility settings",0,1,0,0,0,0,0,0,0
"accessible affordable",0,0,1,0,0,0,0,0,0
"accessing desired",0,0,0,0,0,0,1,0,0
"accessing devices",0,0,0,0,0,0,0,0,1
"accessing information",0,0,0,0,0,0,1,0,0
"accidentally hit",0,0,0,0,0,0,0,1,0
"accompanying disorders",0,0,0,0,0,0,0,0,1
"account amazing",0,0,0,0,1,0,0,0,0
"accurate picture",0,0,0,0,0,0,0,0,1
"accurate sentences",0,0,0,0,0,0,0,0,1
"accurately pronounce",0,0,0,0,0,0,0,0,1
"achievement wonderful",0,0,0,0,1,0,0,0,0
"acquisition motor",0,0,0,0,0,0,0,0,1
"act basis",0,1,0,0,0,0,0,0,0
"act fleeting",0,0,0,0,0,0,0,0,1
"act listening",0,0,0,0,0,0,0,0,1
"actions buttons",0,0,0,1,0,0,0,0,0
"actions creating",0,0,0,1,0,0,0,0,0
"actions speak",0,0,0,0,0,0,0,0,1
"activate release",0,0,0,1,0,0,0,0,0
"activation timing",0,0,0,1,0,0,0,0,0
"active participant",0,0,0,0,0,0,0,0,1
"active social",0,0,0,0,0,0,0,0,1
"activism movie",0,0,0,0,0,0,0,0,1
"activities choose",0,0,0,0,1,0,0,0,0
"activities enjoys",0,0,0,0,1,0,0,0,0
"activities request",0,0,0,0,1,0,0,0,0
"activities shopping",0,0,0,0,0,1,0,0,0
"activities slp",0,0,0,0,1,0,0,0,0
"activities teaching",0,1,0,0,0,0,0,0,0
"activity choices",0,0,0,0,0,1,0,0,0
"actual restaurants",0,0,0,0,1,0,0,0,0
"actual wordpower42",0,0,0,0,0,0,0,0,1
"add additional",0,0,0,0,0,0,0,0,1
"add category",0,0,0,0,0,0,1,0,0
"add cells",0,0,0,0,2,0,0,0,0
"add custom",1,0,0,0,0,0,0,0,0
"add delete",0,0,0,0,0,0,1,0,0
"add device",0,0,0,0,0,0,1,0,0
"add folders",0,0,0,0,0,1,0,0,0
"add image",0,0,0,0,1,0,0,0,0
"add images",0,0,0,0,0,1,0,0,0
"add option",0,0,0,0,0,0,1,0,0
"add pick",0,0,0,0,0,1,0,0,0
"add pictures",0,0,0,0,0,1,0,0,0
"add taking",0,0,0,0,0,1,0,0,0
"add voice",0,0,0,0,2,0,0,0,0
"add words",0,1,0,0,0,1,0,0,0
"added address",0,0,0,0,0,1,0,0,0
"added caption",0,0,0,0,0,0,1,0,0
"added favorite",0,0,0,0,0,1,0,0,0
"added fee",0,0,0,0,1,0,0,0,0
"added phone",0,0,0,0,0,1,0,0,0
"added strange",0,0,0,0,0,0,0,0,1
"added tangible",0,0,0,0,0,0,0,0,1
"adding category",0,0,0,0,0,0,2,0,0
"adding deleting",0,0,0,0,1,0,0,0,0
"adding features",0,0,0,0,1,0,0,0,0
"adding info",0,0,0,0,0,0,1,0,0
"adding layers",0,0,0,0,1,0,0,0,0
"addition word",0,0,0,0,0,0,0,1,0
"additional features",1,0,0,0,0,0,0,0,0
"additional page",0,0,0,1,0,0,0,0,0
