"","1","2","3","4","5","6","7","8"
"""000",3,2,1,1,0,0,0,0
"""100",2,1,0,0,0,0,0,0
"""20",2,0,0,0,2,2,1,0
"""30",1,0,0,1,1,0,0,0
"""aac",1,6,7,2,3,0,1,1
"""ability",1,0,2,2,0,1,1,0
"""about",2,0,3,0,5,2,2,0
"""access",4,2,2,0,2,1,2,0
"""add",1,1,0,0,5,6,4,0
"""additional",2,0,0,1,0,0,0,0
"""adjustments",1,0,0,1,0,0,0,0
"""all",2,1,1,0,5,7,3,1
"""almost",1,0,0,0,0,0,0,0
"""alone",1,0,0,0,0,0,0,0
"""alternative",1,1,1,1,1,0,0,0
"""always",1,1,0,0,1,0,0,0
"""an",1,2,3,2,20,3,3,1
"""and",18,23,22,18,94,47,21,11
"""any",1,1,1,1,6,0,1,0
"""app",2,9,3,1,31,29,10,7
"""apple",4,1,0,0,2,0,0,0
"""apps",3,0,1,0,2,2,3,1
"""are",1,3,5,8,18,4,4,4
"""around",1,1,0,0,0,0,0,0
"""arrangement",1,0,0,0,0,0,0,0
"""as",1,4,6,3,14,8,3,2
"""asn",1,0,0,0,0,0,0,0
"""audio",2,0,2,1,0,0,0,0
"""auditory",1,0,0,0,0,0,0,0
"""augmentative",1,1,1,1,1,0,0,0
"""authors",1,0,0,0,0,0,0,0
"""autism",1,1,1,1,1,0,0,0
"""automatic",1,0,0,0,0,0,0,0
"""available",1,2,1,3,0,1,0,0
"""award",1,0,0,0,0,0,0,0
"""back",1,0,0,0,2,0,2,2
"""backed",1,0,0,0,1,0,0,0
"""background",1,0,0,0,1,1,0,0
"""bar",1,0,0,0,0,0,0,1
"""battery",1,0,0,0,0,0,0,0
"""be",2,3,2,13,11,6,3,1
"""bi",1,0,0,0,0,0,0,0
"""boards",2,0,0,0,14,0,0,0
"""breakthrough",1,0,0,0,0,0,0,0
"""browser",1,0,0,0,0,0,0,0
"""bt",1,0,0,0,0,0,0,0
"""but",1,0,0,0,16,2,1,3
"""by",2,4,5,2,9,3,1,1
"""can",6,7,6,14,37,17,7,2
"""caregivers",1,0,0,0,0,0,0,0
"""categorize",1,0,0,0,0,0,0,0
"""cell",1,0,0,0,1,0,0,0
"""cells",1,0,0,0,4,0,0,0
"""cerebral",1,1,1,0,0,0,0,0
"""changes",1,0,0,0,2,0,1,1
"""chinese",1,0,0,0,0,0,0,0
"""choices",2,1,0,0,1,3,1,0
"""choose",1,0,1,3,1,1,1,0
"""collaborative",1,0,0,0,0,0,0,0
"""com",1,0,0,0,0,0,0,0
"""communicate",2,0,3,1,3,6,3,0
"""communication",3,5,3,3,14,7,5,2
"""communications",1,0,0,0,0,1,0,0
"""communities",1,0,0,0,0,0,0,0
"""community",1,1,0,1,3,1,0,0
"""complete",2,0,0,0,0,0,1,0
"""content",2,0,0,0,1,0,1,0
"""context",1,0,0,0,0,0,0,0
"""continued",1,0,0,0,1,0,0,0
"""continuous",1,0,0,0,0,0,0,0
"""cool",1,0,0,0,2,0,0,0
"""copy",2,0,0,0,1,0,1,0
"""core",1,3,0,0,0,0,0,0
"""course",1,0,0,0,0,0,0,0
"""create",2,0,2,1,3,0,2,0
"""creating",1,0,1,1,2,0,1,0
"""custom",1,0,0,3,0,0,0,0
"""customization",1,0,0,0,2,0,0,0
"""customize",4,0,0,0,3,2,1,0
"""day",1,0,0,0,3,0,0,2
"""decrease",1,0,0,0,0,0,0,0
"""desires",1,0,0,0,0,0,0,0
"""developers",1,0,0,0,0,0,0,0
"""device",3,0,0,1,6,10,4,0
"""diagnoses",1,0,0,0,0,0,0,0
"""difficulties",1,1,0,0,0,0,2,0
"""directly",1,1,0,0,0,0,0,0
"""don",2,0,1,0,0,0,0,0
"""down",1,1,1,1,0,2,0,0
"""download",2,0,0,0,0,0,0,0
"""drag",1,0,0,0,0,0,0,0
"""dramatically",1,0,0,0,0,0,0,0
"""drop",1,0,0,0,0,0,0,0
"""ease",1,0,0,0,0,1,0,0
"""easy",1,4,3,0,9,3,0,1
"""effective",1,0,0,0,0,0,0,0
"""email",1,0,1,1,0,0,0,0
"""enable",1,0,0,0,1,0,0,0
"""enables",1,0,0,1,0,0,0,0
"""encoding",1,0,0,0,0,0,0,0
"""english",1,1,0,2,0,0,0,0
