"","1","2","3","4","5","6","7","8"
"""100"",",2,1,0,0,0,0,0,0
"""30"",",1,0,0,1,1,0,0,0
"""ability"",",1,0,2,2,0,1,1,0
"""access"",",4,2,2,0,2,1,2,0
"""add"",",1,1,0,0,5,6,4,0
"""additional"",",2,0,0,1,0,0,0,0
"""adjustments"",",1,0,0,1,0,0,0,0
"""alternative"",",1,1,1,1,1,0,0,0
"""arrangement"",",1,0,0,0,0,0,0,0
"""asn"",",1,0,0,0,0,0,0,0
"""audio"",",2,0,2,1,0,0,0,0
"""auditory"",",1,0,0,0,0,0,0,0
"""augmentative"",",1,1,1,1,1,0,0,0
"""authors"",",1,0,0,0,0,0,0,0
"""autism"",",1,1,1,1,1,0,0,0
"""automatic"",",1,0,0,0,0,0,0,0
"""background"",",1,0,0,0,1,1,0,0
"""bar"",",1,0,0,0,0,0,0,1
"""battery"",",1,0,0,0,0,0,0,0
"""bi"",",1,0,0,0,0,0,0,0
"""boards"",",2,0,0,0,14,0,0,0
"""breakthrough"",",1,0,0,0,0,0,0,0
"""browser"",",1,0,0,0,0,0,0,0
"""bt"",",1,0,0,0,0,0,0,0
"""caregivers"",",1,0,0,0,0,0,0,0
"""categorize"",",1,0,0,0,0,0,0,0
"""cell"",",1,0,0,0,1,0,0,0
"""cells"",",1,0,0,0,5,0,0,0
"""cerebral"",",1,1,1,0,0,0,0,0
"""chinese"",",1,0,0,0,0,0,0,0
"""choices"",",2,1,0,0,1,3,1,0
"""choose"",",1,0,1,3,1,1,1,0
"""collaborative"",",1,0,0,0,0,0,0,0
"""communicate"",",2,0,2,1,3,6,3,0
"""communication"",",3,5,3,3,14,7,6,2
"""communications"",",1,0,0,0,0,1,0,0
"""communities"",",1,0,0,0,0,0,0,0
"""community"",",1,1,0,1,3,1,0,0
"""complete"",",2,0,0,0,0,0,1,0
"""content"",",2,0,0,0,1,0,1,0
"""context"",",1,0,0,0,0,0,0,0
"""continued"",",1,0,0,0,1,0,0,0
"""continuous"",",1,0,0,0,0,0,0,0
"""cool"",",1,0,0,0,2,0,0,0
"""copy"",",2,0,0,0,1,0,1,0
"""core"",",1,3,0,0,0,0,0,0
"""create"",",2,0,2,1,3,0,2,0
"""creating"",",1,0,1,1,2,0,1,0
"""custom"",",1,0,0,3,0,0,0,0
"""customization"",",1,0,0,0,2,0,0,0
"""customize"",",4,0,0,0,3,2,1,0
"""decrease"",",1,0,0,0,0,0,0,0
"""desires"",",1,0,0,0,0,0,0,0
"""developers"",",1,0,0,0,0,0,0,0
"""device"",",3,0,0,1,6,10,4,0
"""diagnoses"",",1,0,0,0,0,0,0,0
"""difficulties"",",1,1,0,0,0,0,2,0
"""directly"",",1,1,0,0,0,0,0,0
"""download"",",2,0,0,0,0,0,0,0
"""drag"",",1,0,0,0,0,0,0,0
"""dramatically"",",1,0,0,0,0,0,0,0
"""drop"",",1,0,0,0,0,0,0,0
"""ease"",",1,0,0,0,0,1,0,0
"""easy"",",1,4,3,0,9,3,0,1
"""effective"",",1,0,0,0,0,0,0,0
"""email"",",1,0,1,1,0,0,0,0
"""enable"",",1,0,0,0,1,0,0,0
"""enables"",",1,0,0,1,0,0,0,0
"""encoding"",",1,0,0,0,0,0,0,0
"""english"",",1,1,0,2,0,0,0,0
"""enroll"",",1,0,0,0,0,0,0,0
"""erf"",",1,0,0,0,0,0,0,0
"""experimenting"",",1,0,0,0,0,0,0,0
"""express"",",1,0,0,0,1,0,0,0
"""facetime"",",1,0,0,0,0,0,0,0
"""families"")",1,0,0,0,0,0,0,0
"""family"",",3,0,0,0,4,0,0,0
"""features"",",3,0,2,1,3,0,0,0
"""files"",",1,0,0,5,0,0,0,0
"""fine"",",1,1,0,0,1,1,0,0
"""fitzgerald"",",1,0,0,0,0,0,0,0
"""free"",",1,0,0,0,3,0,0,0
"""french"",",1,1,0,0,0,0,0,0
"""friendly"",",1,0,0,0,1,0,0,0
"""function"",",1,0,0,0,0,0,0,1
"""generate"",",1,0,0,1,0,0,0,0
"""geo"",",2,0,0,0,0,0,0,0
"""global"",",1,0,0,0,0,0,0,0
"""goosen"",",1,0,0,0,0,0,0,0
"""gps"",",1,0,0,0,0,0,0,0
"""grammar"",",1,0,0,0,0,0,0,0
"""hard"",",1,0,0,0,0,0,1,0
"""hearing"",",1,0,0,0,0,1,0,0
"""hebrew"",",1,0,0,0,0,0,0,0
"""https"",",1,0,0,0,0,0,0,0
"""human"",",1,0,0,0,0,0,0,0
"""images"",",4,2,0,0,1,1,0,0
"""impair"",",1,0,0,0,0,0,0,0
"""impairment"",",1,0,0,0,0,0,0,0
"""impairments"",",1,1,0,0,0,0,0,0
"""include"",",1,0,0,1,0,0,1,0
"""included"",",1,1,0,2,0,1,0,0
"""including"",",3,1,0,1,2,0,0,0
"""information"",",1,0,0,0,3,0,4,0
"""innovative"",",1,0,0,0,0,0,0,0
"""integrate"",",2,0,0,0,0,0,0,0
"""interface"",",1,0,0,0,1,0,0,0
"""internet"",",1,0,0,0,2,0,0,0
